trumpet__;trumpet__;trumpet__;timpani;soprano;alto;tenor;bass;measure;composer;corpus
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 1.0], ['D5', 1.0], ['A5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['F#4', 1.0], ['F#4', 1.0], ['E4', 1.0]];[['D3', 1.0], ['D4', 1.0], ['C#4', 1.0]];0;bach;bwv120.8-a
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F#5', 1.5], ['E5', 0.5], ['D5', 1.0]];[['A4', 1.5], ['A4', 0.5], ['G#4', 1.0]];[['D4', 1.5], ['A3', 0.5], ['D4', 1.0]];[['D4', 1.5], ['C#4', 0.5], ['B3', 1.0]];1;bach;bwv120.8-a
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['C#5', 1.5], ['B4', 0.5], ['A4', 1.0]];[['E4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['A4', 1.0], ['A3', 1.0], ['E4', 1.0]];[['A3', 1.0], ['A2', 1.0], ['G3', 1.0]];2;bach;bwv120.8-a
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 1.0], ['E5', 1.0], ['F#5', 0.5], ['G5', 0.5]];[['A4', 1.0], ['C#5', 1.0], ['A4', 1.0]];[['D4', 1.0], ['G3', 1.0], ['D4', 1.0]];[['F#3', 1.0], ['E3', 1.0], ['D3', 1.0]];3;bach;bwv120.8-a
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['D5', 1.0]];[['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['E4', 1.0], ['C#4', 1.0], ['A3', 1.0]];[['A3', 1.0], ['A2', 1.0], ['D3', 1.0]];4;bach;bwv120.8-a
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 1.0], ['D5', 1.0], ['A5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['F#4', 1.0], ['F#4', 1.0], ['E4', 1.0]];[['D3', 1.0], ['D4', 1.0], ['C#4', 1.0]];5;bach;bwv120.8-a
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F#5', 1.5], ['E5', 0.5], ['D5', 1.0]];[['A4', 1.5], ['A4', 0.5], ['G#4', 1.0]];[['D4', 1.5], ['A3', 0.5], ['D4', 1.0]];[['D4', 1.5], ['C#4', 0.5], ['B3', 1.0]];6;bach;bwv120.8-a
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['C#5', 1.5], ['B4', 0.5], ['A4', 1.0]];[['E4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['A4', 1.0], ['A3', 1.0], ['E4', 1.0]];[['A3', 1.0], ['A2', 1.0], ['G3', 1.0]];7;bach;bwv120.8-a
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 1.0], ['E5', 1.0], ['F#5', 0.5], ['G5', 0.5]];[['A4', 1.0], ['C#5', 1.0], ['A4', 1.0]];[['D4', 1.0], ['G3', 1.0], ['D4', 1.0]];[['F#3', 1.0], ['E3', 1.0], ['D3', 1.0]];8;bach;bwv120.8-a
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['D5', 1.0]];[['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['E4', 1.0], ['C#4', 1.0], ['A3', 1.0]];[['A3', 1.0], ['A2', 1.0], ['D3', 1.0]];9;bach;bwv120.8-a
