horn__;horn__;horn__;timpani;soprano;alto;tenor;bass;measure;composer;corpus
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['C5', 1.0]];[['G4', 1.0]];[['E4', 1.0]];[['C3', 1.0]];0;bach;bwv130.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['C5', 2.0], ['B4', 1.0]];[['G4', 2.0], ['G4', 0.5], ['F4', 0.5]];[['E4', 2.0], ['D4', 1.0]];[['C3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F3', 0.5], ['G3', 1.0]];1;bach;bwv130.6
[('P', 2.0), ['C5', 0.5], ['D5', 0.5]];[('P', 2.0), ['G4', 1.0]];[('P', 2.0), ['E4', 1.0]];[('P', 2.0), ['C3', 1.0]];[['A4', 2.0], ['G4', 1.0]];[['E4', 1.5], ['F4', 0.5], ['G4', 1.0]];[['C4', 2.0], ['C4', 1.0]];[['A2', 0.5], ['B2', 0.5], ['C3', 0.5], ['D3', 0.5], ['E3', 1.0]];2;bach;bwv130.6
[['E5', 0.5], ['F5', 0.5], ['G5', 0.5], ['A5', 0.5], ['B5', 1.0]];[['C5', 1.0], ['E5', 1.0], ['D5', 1.0]];[['E4', 1.0], ['C4', 1.0], ['G4', 1.0]];[['C3', 1.0], ['C3', 1.0], ['G2', 1.0]];[['C5', 2.0], ['D5', 1.0]];[['E4', 1.0], ['C5', 1.0], ['B4', 1.0]];[['C4', 1.0], ['G3', 1.0], ['G4', 1.0]];[['A3', 1.0], ['E3', 1.0], ['G3', 1.0]];3;bach;bwv130.6
[['C6', 2.0], ('P', 1.0)];[['E5', 2.0], ('P', 1.0)];[['G4', 2.0], ('P', 1.0)];[['C3', 2.0], ('P', 1.0)];[['E5', 2.0], ['E5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['E4', 2.0], ['C4', 1.0]];[['C3', 2.0], ['C3', 1.0]];4;bach;bwv130.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['E5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['C4', 2.0], ['B3', 0.5], ['A3', 0.5]];[['C3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F3', 0.5], ['G3', 0.5], ['A3', 0.5]];5;bach;bwv130.6
[('P', 2.0), ['C5', 0.5], ['B4', 0.5]];[('P', 2.0), ['E5', 1.0]];[('P', 2.0), ['E4', 1.0]];[('P', 2.0), ['C3', 1.0]];[['D5', 2.0], ['C5', 1.0]];[['F4', 1.0], ['E4', 1.0], ['E4', 1.0]];[['B3', 2.0], ['C4', 1.0]];[['G#3', 0.5], ['F#3', 0.5], ['G#3', 0.5], ['E3', 0.5], ['A3', 0.5], ['G3', 0.5]];6;bach;bwv130.6
[['C5', 0.5], ['D5', 0.5], ['E5', 0.5], ['F5', 0.5], ['G5', 0.5], ['A5', 0.5]];[['F5', 1.0], ['C5', 0.5], ['D5', 0.5], ['E5', 0.5], ['F5', 0.5]];[['C5', 1.0], ['C4', 1.0], ['C5', 1.0]];[['C3', 1.0], ['C3', 1.0], ['C3', 1.0]];[['F5', 2.0], ['E5', 1.0]];[['A4', 1.0], ['G4', 0.5], ['F4', 0.5], ['C5', 1.0]];[['C4', 1.5], ['B3', 0.5], ['G4', 1.0]];[['F3', 1.0], ['E3', 0.5], ['D3', 0.5], ['C3', 1.0]];7;bach;bwv130.6
[['B5', 2.0], ('P', 1.0)];[['G5', 2.0], ('P', 1.0)];[['D5', 2.0], ('P', 1.0)];[['G2', 2.0], ('P', 1.0)];[['D5', 2.0], ['C5', 1.0]];[['B4', 2.0], ['E4', 0.5], ['F#4', 0.5]];[['G4', 2.0], ['C4', 1.0]];[['G3', 2.0], ['A3', 1.0]];8;bach;bwv130.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 2.0], ['E5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['B3', 2.0], ['C4', 1.0]];[['G3', 0.5], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5], ['D3', 0.5]];9;bach;bwv130.6
[('P', 2.0), ['C5', 0.5], ['D5', 0.5]];[('P', 2.0), ['C5', 0.5], ['B4', 0.5]];[('P', 2.0), ['E4', 0.5], ['G4', 0.5]];[('P', 2.0), ['C3', 1.0]];[['D5', 2.0], ['C5', 1.0]];[['G#4', 2.0], ['A4', 1.0]];[['B3', 2.0], ['C4', 1.0]];[['E3', 0.5], ['D3', 0.5], ['C3', 0.5], ['B2', 0.5], ['A2', 1.0]];10;bach;bwv130.6
[['E5', 0.5], ['F5', 0.5], ['G5', 0.5], ['A5', 0.5], ['G5', 0.5], ['F5', 0.5]];[['C5', 0.5], ['D5', 0.5], ['E5', 0.5], ['F5', 0.5], ['E5', 0.5], ['D5', 0.5]];[['C5', 1.0], ('P', 1.0), ['G4', 1.0]];[['C3', 1.0], ('P', 1.0), ['G2', 1.0]];[['A4', 1.0], ['B4', 2.0]];[['A4', 1.0], ['G4', 0.5], ['F4', 0.5], ['G4', 1.0]];[['C4', 1.0], ['B3', 0.5], ['C4', 0.5], ['D4', 1.0]];[['F3', 1.0], ['D3', 1.0], ['G3', 1.0]];11;bach;bwv130.6
[['E5', 2.0], ('P', 1.0)];[['C5', 2.0], ('P', 1.0)];[['G4', 2.0], ('P', 1.0)];[['C3', 2.0], ('P', 1.0)];[['C5', 2.0], ['G5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['E4', 2.0], ['D4', 1.0]];[['C3', 2.0], ['B2', 1.0]];12;bach;bwv130.6
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['C3', 2.0], ('P', 1.0)];[['E5', 1.5], ['D5', 0.5], ['C5', 1.0]];[['G4', 1.5], ['F4', 0.5], ['G4', 1.0]];[['C4', 1.0], ['G3', 1.0], ['C4', 1.0]];[['C3', 0.5], ['B2', 0.5], ['C3', 0.5], ['D3', 0.5], ['E3', 0.5], ['C3', 0.5]];13;bach;bwv130.6
[('P', 2.0), ['C5', 0.5], ['D5', 0.5]];[('P', 2.0), ['C5', 1.0]];[('P', 2.0), ['C4', 1.0]];[('P', 2.0), ['C3', 1.0]];[['D5', 1.5], ['E5', 0.5], ['F5', 1.0]];[['A4', 1.0], ['G4', 1.0], ['C5', 1.0]];[['C4', 1.0], ['B3', 1.0], ['A3', 1.0]];[['F3', 0.5], ['E3', 0.5], ['F3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B3', 0.5]];14;bach;bwv130.6
