recorders;soprano;alto;tenor;bass;measure;composer;corpus
[('P', 0.5), ['G5', 0.5]];[['E4', 1.0]];[['E4', 1.0]];[['G3', 0.5], ['B3', 0.5]];[['E3', 1.0]];0;bach;bwv161.6
[['G5', 0.25], ['C5', 0.25], ['F5', 0.5], ['F5', 0.25], ['E5', 0.125], ['D5', 0.125], ['E5', 0.5], ['E5', 0.25], ['A4', 0.25], ['D5', 0.5], ['D5', 0.25], ['C5', 0.125], ['B4', 0.125], ['C5', 0.5]];[['A4', 1.0], ['G4', 1.0], ['F4', 1.0], ['E4', 1.0]];[['E4', 0.5], ['D4', 0.5], ['D4', 1.0], ['D4', 0.5], ['D4', 0.5], ['C4', 0.5], ['B3', 0.5]];[['A3', 0.5], ['C4', 0.5], ['B3', 1.0], ['C4', 0.5], ['G3', 0.5], ['G3', 1.0]];[['F3', 1.0], ['G3', 1.0], ['A2', 0.5], ['B2', 0.5], ['C3', 1.0]];1;bach;bwv161.6
[['C5', 0.25], ['E5', 0.25], ['D5', 0.25], ['C5', 0.25], ['B4', 0.25], ['C5', 0.25], ['B4', 0.25], ['A4', 0.25], ['G#4', 0.25], ['A4', 0.25], ['G#4', 0.25], ['F4', 0.25], ['E4', 0.5], ['B5', 0.5]];[['D4', 2.0], ['E4', 1.0], ['B4', 1.0]];[['A3', 2.0], ['B3', 1.0], ['E4', 1.0]];[['A3', 0.5], ['F3', 0.5], ['D3', 0.5], ['D4', 0.5], ['G#3', 1.0], ['G#3', 1.0]];[['F2', 2.0], ['E2', 1.0], ['E3', 1.0]];2;bach;bwv161.6
[['B5', 0.25], ['D6', 0.25], ['C6', 0.25], ['B5', 0.25], ['A5', 0.25], ['G#5', 0.25], ['A5', 0.5], ['A5', 0.25], ['C6', 0.25], ['B5', 0.25], ['A5', 0.25], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5]];[['C5', 1.0], ['C5', 1.0], ['B4', 1.0], ['B4', 1.0]];[['E4', 1.0], ['F4', 1.0], ['F4', 1.0], ['E4', 0.5], ['D4', 0.5]];[['A3', 1.5], ['C4', 0.5], ['D4', 0.5], ['D3', 0.5], ['G3', 0.5], ['F3', 0.5]];[['A3', 0.5], ['G3', 0.5], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['B2', 0.5], ['E3', 1.0]];3;bach;bwv161.6
[['G5', 0.25], ['B-5', 0.25], ['A5', 0.25], ['G5', 0.25], ['F5', 0.25], ['E5', 0.25], ['F5', 0.5], ['E5', 1.0]];[['A4', 3.0]];[['C#4', 1.0], ['D4', 1.0], ['C4', 1.0]];[['E3', 1.0], ['F3', 0.75], ['G3', 0.25], ['A3', 1.0]];[['A2', 3.0]];4;bach;bwv161.6
[['A5', 1.0]];[['C5', 1.0]];[['A4', 0.5], ['G4', 0.5]];[['E4', 1.0]];[['A3', 1.0]];5;bach;bwv161.6
[['A5', 0.25], ['C6', 0.25], ['B5', 0.25], ['A5', 0.25], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['G5', 0.25], ['B-5', 0.25], ['A5', 0.25], ['G5', 0.25], ['F5', 0.25], ['E5', 0.25], ['F5', 0.5]];[['B4', 0.5], ['C5', 0.25], ['D5', 0.25], ['G4', 1.0], ['A4', 1.0], ['B4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['E4', 0.5], ['C4', 0.5], ['F4', 1.0]];[['D4', 1.0], ['D4', 0.5], ['C4', 0.5], ['C4', 1.0], ['D4', 1.0]];[['D3', 1.0], ['E3', 1.0], ['F3', 1.0], ['D3', 1.0]];6;bach;bwv161.6
[['F5', 0.25], ['A5', 0.25], ['G5', 0.25], ['F5', 0.25], ['E5', 0.25], ['F5', 0.25], ['E5', 0.25], ['D5', 0.25], ['C5', 0.25], ['G5', 0.25], ['A5', 0.25], ['B5', 0.25], ['C6', 0.5], ['G5', 0.5]];[['C5', 2.0], ['C5', 1.0], ['G4', 1.0]];[['G4', 1.5], ['F4', 0.5], ['E4', 1.0], ['C4', 1.0]];[['G3', 1.0], ['A3', 0.5], ['B3', 0.5], ['C4', 1.0], ['C4', 1.0]];[['C3', 2.0], ['C3', 1.0], ['E3', 1.0]];7;bach;bwv161.6
[['G5', 0.25], ['C5', 0.25], ['F5', 0.5], ['F5', 0.25], ['E5', 0.25], ['D5', 0.25], ['E5', 0.25], ['E5', 0.25], ['G5', 0.25], ['F5', 0.25], ['E5', 0.25], ['D5', 0.25], ['C#5', 0.25], ['D5', 0.5]];[['A4', 1.0], ['G4', 1.0], ['A4', 1.0], ['F4', 1.0]];[['C4', 1.0], ['C4', 0.5], ['B-3', 0.5], ['A3', 1.0], ['A3', 1.0]];[['F3', 1.0], ['G3', 1.0], ['E3', 1.0], ['F3', 0.5], ['G3', 0.5]];[['F3', 1.0], ['C3', 1.0], ['C#3', 1.0], ['D3', 1.0]];8;bach;bwv161.6
[['D5', 0.25], ['F5', 0.25], ['E5', 0.25], ['D5', 0.25], ['C5', 0.25], ['B4', 0.25], ['D5', 0.25], ['C5', 0.25], ['C5', 0.25], ['D5', 0.25], ['C5', 0.25], ['B4', 0.25], ['A4', 0.5], ['A5', 0.5]];[['E4', 2.0], ('P', 1.0), ['C5', 1.0]];[['A3', 2.0], ('P', 1.0), ['E4', 1.0]];[['A3', 2.0], ('P', 1.0), ['A3', 1.0]];[['A2', 2.0], ('P', 1.0), ['A2', 1.0]];9;bach;bwv161.6
