trumpet__;trumpet__;trumpet__;timpani;soprano_oboe_____violin_;alto_viloin__;tenor_viola;bass_continuo;measure;composer;corpus
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['F#5', 1.0]];[['A4', 1.0]];[['D4', 1.0]];[['D3', 1.0]];0;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['F#5', 1.0], ['D5', 1.0], ['E5', 1.0], ['F#5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['E4', 1.0], ['D4', 1.0]];[['D3', 1.0], ['D4', 1.0], ['C#4', 1.0], ['C4', 1.0]];1;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G5', 2.0], ['E5', 1.0], ['E5', 1.0]];[['G4', 0.5], ['A4', 0.5], ['B4', 1.0], ['C5', 1.0], ['B4', 1.0]];[['D4', 1.0], ['G4', 1.0], ['G4', 1.0], ['B3', 1.0]];[['B3', 1.0], ['A3', 0.5], ['G3', 0.5], ['C4', 1.0], ['G#3', 1.0]];2;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E5', 1.0], ['D5', 1.0], ['D5', 1.0], ['C#5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['B4', 1.0], ['A4', 1.0]];[['C#4', 1.0], ['D4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0]];[['A3', 0.5], ['G3', 0.5], ['F#3', 1.0], ['G3', 1.0], ['A3', 1.0]];3;bach;bwv171.6
[['A5', 0.5], ['B5', 1.0], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['A4', 0.25], ['A4', 0.25], ['D5', 0.25], ['D5', 0.25], ['F#5', 0.25], ['F#5', 0.25]];[['F#5', 0.5], ['G5', 1.0], ['F#5', 0.25], ['E5', 0.25], ['F#5', 0.5], ['F#4', 0.25], ['F#4', 0.25], ['A4', 0.25], ['A4', 0.25], ['D5', 0.25], ['D5', 0.25]];[['D5', 1.0], ('P', 1.0), ('P', 0.5), ['D4', 0.25], ['D4', 0.25], ['F#4', 0.25], ['F#4', 0.25], ['A4', 0.25], ['A4', 0.25]];[['D3', 1.0], ('P', 1.0), ('P', 0.5), ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25]];[['D5', 3.0], ('P', 1.0)];[['A4', 3.0], ('P', 1.0)];[['F#4', 3.0], ('P', 1.0)];[['D3', 3.0], ('P', 1.0)];4;bach;bwv171.6
[['A5', 0.5], ['B5', 1.0], ['A5', 0.25], ['G5', 0.25], ['A5', 1.0], ('P', 1.0)];[['F#5', 0.5], ['G5', 1.0], ['F#5', 0.25], ['E5', 0.25], ['F#5', 1.0], ('P', 1.0)];[['D5', 0.5], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D5', 1.0], ('P', 1.0)];[['D3', 0.5], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 1.0], ('P', 1.0)];[('P', 2.0), ('P', 1.0), ['E5', 1.0]];[('P', 2.0), ('P', 1.0), ['A4', 0.5], ['G#4', 0.5]];[('P', 2.0), ('P', 1.0), ['C#4', 0.5], ['B3', 0.5]];[('P', 2.0), ('P', 1.0), ['A2', 1.0]];5;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E5', 1.0], ['E5', 1.0], ['E5', 1.0], ['F#5', 1.0]];[['A4', 1.5], ['G#4', 0.5], ['A4', 1.0], ['A4', 1.0]];[['C#4', 0.5], ['B3', 0.5], ['C#4', 0.5], ['D4', 0.5], ['E4', 1.0], ['D4', 0.5], ['C4', 0.5]];[['A3', 0.5], ['G#3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C#4', 0.5], ['A3', 0.5], ['D4', 1.0]];6;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D5', 2.0], ['D5', 1.0], ['D5', 1.0]];[['A4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['A4', 1.0]];[['C4', 1.0], ['B3', 0.5], ['A3', 0.5], ['B3', 1.0], ['F#4', 1.0]];[['G3', 2.0], ['G3', 1.0], ['F#3', 0.5], ['G3', 0.5]];7;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C#5', 1.0], ['D5', 1.0], ['E5', 1.0], ['E5', 1.0]];[['A4', 0.5], ['G4', 0.5], ['F#4', 1.0], ['B4', 1.0], ['A4', 0.5], ['G4', 0.5]];[['E4', 1.0], ['D4', 1.0], ['D4', 1.0], ['C#4', 1.0]];[['A3', 1.0], ['B3', 0.5], ['A3', 0.5], ['G3', 1.0], ['A3', 0.5], ['A2', 0.5]];8;bach;bwv171.6
[['A5', 0.5], ['B5', 1.0], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['A4', 0.25], ['A4', 0.25], ['D5', 0.25], ['D5', 0.25], ['F#5', 0.25], ['F#5', 0.25]];[['F#5', 0.5], ['G5', 1.0], ['F#5', 0.25], ['E5', 0.25], ['F#5', 0.5], ['F#4', 0.25], ['F#4', 0.25], ['A4', 0.25], ['A4', 0.25], ['D5', 0.25], ['D5', 0.25]];[['D5', 1.0], ('P', 1.0), ('P', 0.5), ['D4', 0.25], ['D4', 0.25], ['F#4', 0.25], ['F#4', 0.25], ['A4', 0.25], ['A4', 0.25]];[['D3', 1.0], ('P', 1.0), ('P', 0.5), ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25]];[['D5', 3.0], ('P', 1.0)];[['F#4', 3.0], ('P', 1.0)];[['A3', 3.0], ('P', 1.0)];[['D3', 3.0], ('P', 1.0)];9;bach;bwv171.6
[['A5', 0.5], ['B5', 1.0], ['A5', 0.25], ['G5', 0.25], ['A5', 1.0], ('P', 1.0)];[['F#5', 0.5], ['G5', 1.0], ['F#5', 0.25], ['E5', 0.25], ['F#5', 1.0], ('P', 1.0)];[['D5', 0.5], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D5', 1.0], ('P', 1.0)];[['D3', 0.5], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 1.0], ('P', 1.0)];[('P', 3.0), ['F#5', 1.0]];[('P', 3.0), ['A4', 1.0]];[('P', 3.0), ['D4', 1.0]];[('P', 3.0), ['D3', 1.0]];10;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['F#5', 1.0], ['D5', 1.0], ['E5', 1.0], ['F#5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['E4', 1.0], ['D4', 1.0]];[['D3', 1.0], ['D4', 1.0], ['C#4', 1.0], ['C4', 1.0]];11;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G5', 2.0], ['E5', 1.0], ['E5', 1.0]];[['G4', 0.5], ['A4', 0.5], ['B4', 1.0], ['C5', 1.0], ['B4', 1.0]];[['D4', 1.0], ['G4', 1.0], ['G4', 1.0], ['B3', 1.0]];[['B3', 1.0], ['A3', 0.5], ['G3', 0.5], ['C4', 1.0], ['G#3', 1.0]];12;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E5', 1.0], ['D5', 1.0], ['D5', 1.0], ['C#5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['B4', 1.0], ['A4', 1.0]];[['C#4', 1.0], ['D4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0]];[['A3', 0.5], ['G3', 0.5], ['F#3', 1.0], ['G3', 1.0], ['A3', 1.0]];13;bach;bwv171.6
[['A5', 0.5], ['B5', 1.0], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['A4', 0.25], ['A4', 0.25], ['D5', 0.25], ['D5', 0.25], ['F#5', 0.25], ['F#5', 0.25]];[['F#5', 0.5], ['G5', 1.0], ['F#5', 0.25], ['E5', 0.25], ['F#5', 0.5], ['F#4', 0.25], ['F#4', 0.25], ['A4', 0.25], ['A4', 0.25], ['D5', 0.25], ['D5', 0.25]];[['D5', 1.0], ('P', 1.0), ('P', 0.5), ['D4', 0.25], ['D4', 0.25], ['F#4', 0.25], ['F#4', 0.25], ['A4', 0.25], ['A4', 0.25]];[['D3', 1.0], ('P', 1.0), ('P', 0.5), ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25]];[['D5', 3.0], ('P', 1.0)];[['A4', 3.0], ('P', 1.0)];[['F#4', 3.0], ('P', 1.0)];[['D3', 3.0], ('P', 1.0)];14;bach;bwv171.6
[['A5', 0.5], ['B5', 1.0], ['A5', 0.25], ['G5', 0.25], ['A5', 1.0], ('P', 1.0)];[['F#5', 0.5], ['G5', 1.0], ['F#5', 0.25], ['E5', 0.25], ['F#5', 1.0], ('P', 1.0)];[['D5', 0.5], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D4', 0.25], ['D5', 1.0], ('P', 1.0)];[['D3', 0.5], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 1.0], ('P', 1.0)];[('P', 2.0), ('P', 1.0), ['E5', 1.0]];[('P', 2.0), ('P', 1.0), ['A4', 0.5], ['G#4', 0.5]];[('P', 2.0), ('P', 1.0), ['C#4', 0.5], ['B3', 0.5]];[('P', 2.0), ('P', 1.0), ['A2', 1.0]];15;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E5', 1.0], ['E5', 1.0], ['E5', 1.0], ['F#5', 1.0]];[['A4', 1.5], ['G#4', 0.5], ['A4', 1.0], ['A4', 1.0]];[['C#4', 0.5], ['B3', 0.5], ['C#4', 0.5], ['D4', 0.5], ['E4', 1.0], ['D4', 0.5], ['C4', 0.5]];[['A3', 0.5], ['G#3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C#4', 0.5], ['A3', 0.5], ['D4', 1.0]];16;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D5', 2.0], ['D5', 1.0], ['D5', 1.0]];[['A4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['A4', 1.0]];[['C4', 1.0], ['B3', 0.5], ['A3', 0.5], ['B3', 1.0], ['F#4', 1.0]];[['G3', 2.0], ['G3', 1.0], ['F#3', 0.5], ['G3', 0.5]];17;bach;bwv171.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C#5', 1.0], ['D5', 1.0], ['E5', 1.0], ['E5', 1.0]];[['A4', 0.5], ['G4', 0.5], ['F#4', 1.0], ['B4', 1.0], ['A4', 0.5], ['G4', 0.5]];[['E4', 1.0], ['D4', 1.0], ['D4', 1.0], ['C#4', 1.0]];[['A3', 1.0], ['B3', 0.5], ['A3', 0.5], ['G3', 1.0], ['A3', 0.5], ['A2', 0.5]];18;bach;bwv171.6
[['A5', 0.5], ['B5', 1.0], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ['A4', 0.25], ['A4', 0.25], ['D5', 0.25], ['D5', 0.25], ['F#5', 0.25], ['F#5', 0.25]];[['F#5', 0.5], ['G5', 1.0], ['F#5', 0.25], ['E5', 0.25], ['F#5', 0.5], ['F#4', 0.25], ['F#4', 0.25], ['A4', 0.25], ['A4', 0.25], ['D5', 0.25], ['D5', 0.25]];[['D5', 1.0], ('P', 1.0), ('P', 0.5), ['D4', 0.25], ['D4', 0.25], ['F#4', 0.25], ['F#4', 0.25], ['A4', 0.25], ['A4', 0.25]];[['D3', 1.0], ('P', 1.0), ('P', 0.5), ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25], ['D3', 0.25]];[['D5', 3.0], ('P', 1.0)];[['F#4', 3.0], ('P', 1.0)];[['A3', 3.0], ('P', 1.0)];[['D3', 3.0], ('P', 1.0)];19;bach;bwv171.6
