violin;soprano;alto;tenor;bass;measure;composer;corpus
[['F5', 1.0]];[['F4', 1.0]];[['C4', 1.0]];[['A3', 1.0]];[['F3', 1.0]];0;bach;bwv172.6
[['G5', 1.0], ['A5', 1.0], ['A5', 0.5], ['G5', 0.5], ['F5', 0.5], ['E-5', 0.5]];[['C5', 0.5], ['B-4', 0.5], ['A4', 0.5], ['G4', 0.5], ['F4', 1.0], ['C5', 1.0]];[['C4', 1.0], ['C4', 1.0], ['D4', 0.5], ['E4', 0.5], ['F4', 1.0]];[['G3', 1.0], ['F3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B-3', 0.5], ['C4', 1.0]];[['E3', 1.0], ['F3', 0.5], ['E3', 0.5], ['D3', 1.0], ['A2', 1.0]];1;bach;bwv172.6
[['D5', 0.5], ['E5', 0.5], ['F5', 0.5], ['G5', 0.5], ['A5', 1.0], ['G5', 1.0]];[['D5', 1.0], ['D5', 1.0], ['C5', 1.0], ['C5', 1.0]];[['F4', 1.0], ['F4', 1.0], ['F4', 1.0], ['G4', 1.0]];[['C4', 0.5], ['B-3', 0.25], ['A3', 0.25], ['B-3', 0.5], ['B-3', 0.5], ['A3', 1.0], ['C4', 1.0]];[['B-2', 0.5], ['C3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F3', 1.0], ['E3', 1.0]];2;bach;bwv172.6
[['F5', 1.0], ['E5', 1.0], ['E5', 0.5], ['D5', 0.5], ['D5', 0.5], ['C5', 0.5]];[['D5', 1.0], ['E5', 1.0], ['F5', 1.0], ['E5', 1.0]];[['A4', 1.0], ['G4', 1.0], ['F4', 0.5], ['G4', 0.5], ['G4', 1.0]];[['C4', 1.0], ['B3', 1.0], ['C4', 0.5], ['D4', 0.5], ['E4', 0.5], ['G3', 0.5]];[['F3', 1.0], ['G3', 1.0], ['A3', 0.5], ['B3', 0.5], ['C4', 0.5], ['E3', 0.5]];3;bach;bwv172.6
[['A5', 0.5], ['F5', 0.5], ['D5', 0.5], ['G5', 0.5], ['G5', 0.5], ['E5', 0.5], ['C5', 0.5], ['F5', 0.5]];[['D5', 1.0], ['D5', 1.0], ['C5', 1.0], ['A4', 1.0]];[['F4', 1.0], ['F4', 1.0], ['E4', 1.0], ['F4', 1.0]];[['A3', 0.5], ['D4', 0.5], ['B3', 1.0], ['C4', 1.0], ['C4', 1.0]];[['F3', 0.5], ['D3', 0.5], ['G3', 1.0], ['C3', 1.0], ['F3', 1.0]];4;bach;bwv172.6
[['F5', 0.5], ['G5', 0.5], ['G5', 0.5], ['A5', 0.5], ['B-4', 0.5], ['C5', 0.5], ['C5', 0.5], ['D5', 0.5]];[['D5', 1.0], ['C5', 1.0], ['B-4', 1.0], ['A4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['F4', 0.5], ['G4', 0.5], ['F4', 1.0]];[['B-3', 0.5], ['A3', 0.5], ['G3', 1.0], ['D4', 0.5], ['C4', 0.5], ['C4', 1.0]];[['B-2', 1.0], ['C3', 1.0], ['D3', 0.5], ['E3', 0.5], ['F3', 0.5], ['B-2', 0.5]];5;bach;bwv172.6
[['G4', 0.5], ['A4', 0.5], ['B-4', 0.5], ['C5', 0.5], ['A4', 1.0]];[['G4', 2.0], ['F4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['F4', 1.0]];[['C4', 2.0], ['C4', 1.0]];[['C3', 2.0], ['F2', 1.0]];6;bach;bwv172.6
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];7;bach;bwv172.6
[['C5', 0.5], ['E5', 0.5], ['G5', 1.0], ['G5', 0.5], ['F5', 0.25], ['E5', 0.25], ['F5', 1.0]];[['C5', 2.0], ['A4', 2.0]];[['G4', 2.0], ['A4', 2.0]];[['C4', 2.0], ['C4', 2.0]];[['E3', 2.0], ['F3', 2.0]];8;bach;bwv172.6
[['F5', 0.5], ['G5', 0.25], ['F5', 0.25], ['E5', 0.25], ['F5', 0.25], ['D5', 0.25], ['E5', 0.25], ['F5', 0.5], ['G5', 0.5], ['A5', 0.5], ['B-5', 0.5]];[['C5', 2.0], ['A4', 2.0]];[['G4', 2.0], ['F4', 2.0]];[['C4', 2.0], ['C4', 2.0]];[['C3', 2.0], ['F2', 2.0]];9;bach;bwv172.6
[['C6', 1.0], ['C5', 0.5], ['D5', 0.5], ['E5', 0.5], ['F5', 0.5], ['G5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['F4', 1.0], ['F4', 1.0], ['E4', 0.5], ['D4', 0.5], ['C4', 1.0]];[['C4', 1.0], ['C4', 1.0], ['C4', 1.0], ['C4', 0.5], ['B-3', 0.5]];[['F2', 0.5], ['G2', 0.5], ['A2', 0.5], ['B-2', 0.5], ['C3', 0.5], ['D3', 0.5], ['E3', 0.5], ['C3', 0.5]];10;bach;bwv172.6
[['G5', 0.5], ['F5', 0.25], ['E5', 0.25], ['F5', 0.25], ['A5', 0.25], ['G5', 0.25], ['F5', 0.25], ['E5', 0.5], ['D5', 0.5], ['C5', 0.5], ['B-4', 0.5]];[['A4', 1.0], ['A4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['C4', 1.0], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['E4', 1.0]];[['A3', 0.5], ['B-3', 0.5], ['C4', 1.0], ['C4', 1.0], ['C4', 1.0]];[['F3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B-3', 0.5], ['C4', 0.5], ['B-3', 0.5], ['A3', 0.5], ['G3', 0.5]];11;bach;bwv172.6
[['A4', 0.5], ['G4', 0.5], ['F4', 0.5], ['E4', 0.5], ['D4', 0.5], ['B-4', 1.0], ['A4', 0.25], ['G4', 0.25]];[['A4', 1.0], ['A4', 1.0], ['G4', 2.0]];[['F4', 1.0], ['F4', 1.0], ['F4', 1.0], ['E4', 1.0]];[['C4', 1.0], ['D4', 1.0], ['D4', 1.0], ['C4', 0.5], ['B-3', 0.5]];[['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5], ['B-2', 0.5], ['G2', 0.5], ['C3', 1.0]];12;bach;bwv172.6
[['A4', 0.5], ['C5', 0.5], ['D5', 0.5], ['E5', 0.5], ['F5', 0.5], ['A4', 0.5], ['B-4', 0.5], ['C5', 0.5]];[['F4', 2.0], ['F5', 1.0], ['E5', 1.0]];[['F4', 2.0], ['A4', 1.0], ['G4', 1.0]];[['A3', 2.0], ['D4', 0.5], ['C4', 0.5], ['B-3', 1.0]];[['F2', 2.0], ['D2', 0.5], ['F2', 0.5], ['G2', 0.5], ['A2', 0.5]];13;bach;bwv172.6
[['D5', 0.5], ['B-5', 0.5], ['B-5', 0.5], ['A5', 0.5], ['A5', 0.5], ['G5', 0.5], ['G5', 0.5], ['F5', 0.5]];[['D5', 1.0], ['C5', 1.0], ['B-4', 1.0], ['A4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['D4', 1.0], ['C4', 1.0]];[['B-3', 0.5], ['A3', 0.5], ['G3', 1.0], ['F3', 0.5], ['G3', 0.5], ['A3', 0.5], ['C4', 0.5]];[['B-2', 1.0], ['C3', 1.0], ['D3', 0.5], ['E3', 0.5], ['F3', 0.5], ['A2', 0.5]];14;bach;bwv172.6
[['F5', 0.5], ['G5', 0.25], ['A5', 0.25], ['E5', 1.0], ['F5', 1.0]];[['G4', 2.0], ['F4', 1.0]];[['D4', 1.0], ['C4', 1.0], ['C4', 1.0]];[['B-3', 0.75], ['A3', 0.25], ['G3', 1.0], ['A3', 1.0]];[['B-2', 0.5], ['G2', 0.5], ['C3', 1.0], ['F2', 1.0]];15;bach;bwv172.6
