soprano;alto;tenor;bass;measure;composer;corpus
[['B4', 1.0], ['B4', 1.0], ['C#5', 1.0], ['C#5', 1.0]];[['G#4', 0.5], ['A4', 0.5], ['G#4', 0.5], ['F#4', 0.5], ['E4', 1.0], ['F#4', 0.5], ['G#4', 0.5]];[['E4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['D#4', 0.5], ['C#4', 1.0], ['D#4', 0.5], ['E4', 0.5]];[['E4', 1.0], ['E3', 1.0], ['A3', 0.5], ['B3', 0.5], ['A3', 0.5], ['G#3', 0.5]];0;bach;bwv244.29-a
[['D#5', 1.0], ['D#5', 1.0], ['E5', 2.0]];[['A4', 0.5], ['C#5', 0.5], ['B4', 0.5], ['A4', 0.5], ['G#4', 2.0]];[['F#4', 0.5], ['A4', 0.5], ['G#4', 0.5], ['F#4', 0.5], ['E4', 2.0]];[['F#3', 1.0], ['B2', 1.0], ['E3', 2.0]];1;bach;bwv244.29-a
[['F#5', 1.0], ['F#5', 1.0], ['E5', 1.0], ['E5', 1.0]];[['B4', 1.0], ['B4', 0.5], ['A#4', 0.5], ['G#4', 1.0], ['F#4', 1.0]];[['D#4', 0.5], ['E4', 0.5], ['F#4', 0.5], ['D#4', 0.5], ['E4', 0.5], ['D#4', 0.5], ['C#4', 0.5], ['A#3', 0.5]];[['B3', 0.5], ['C#4', 0.5], ['D#4', 0.5], ['B3', 0.5], ['C#4', 0.5], ['B3', 0.5], ['A#3', 0.5], ['F#3', 0.5]];2;bach;bwv244.29-a
[['D#5', 1.0], ['C#5', 0.5], ['D#5', 0.25], ['E5', 0.25], ['C#5', 2.0]];[['F#4', 0.5], ['G#4', 0.5], ['G#4', 0.5], ['E4', 0.5], ['F#4', 1.5], ['E4', 0.5]];[['B3', 1.0], ['B3', 1.0], ['B3', 1.0], ['A#3', 1.0]];[['B3', 0.5], ['G#3', 0.5], ['E3', 0.5], ['C#3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['F#3', 1.0]];3;bach;bwv244.29-a
[['B4', 2.0], ['B4', 1.0], ['B4', 1.0]];[['D#4', 2.0], ['E4', 1.0], ['E4', 1.0]];[['F#3', 2.0], ['G#3', 0.5], ['A3', 0.5], ['B3', 0.5], ['G#3', 0.5]];[['B2', 2.0], ['E3', 0.5], ['F#3', 0.5], ['G#3', 0.5], ['E3', 0.5]];4;bach;bwv244.29-a
[['C#5', 1.0], ['C#5', 1.0], ['B4', 1.0], ['A4', 1.0]];[['E4', 1.0], ['A4', 1.0], ['A4', 0.5], ['G#4', 0.5], ['G#4', 0.5], ['F#4', 0.5]];[['A3', 0.5], ['C#4', 0.5], ['F#4', 1.0], ['F#4', 0.5], ['C#4', 0.5], ['C#4', 1.0]];[['A3', 0.5], ['G#3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D#3', 0.5], ['E#3', 0.5], ['F#3', 1.0]];5;bach;bwv244.29-a
[['G#4', 2.0], ['B4', 1.0], ['B4', 1.0]];[['E#4', 2.0], ['D#4', 1.0], ['G#4', 0.5], ['F#4', 0.5]];[['C#4', 2.0], ['B3', 0.5], ['A3', 0.5], ['G#3', 1.0]];[['C#3', 2.0], ['G#3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D#3', 0.5]];6;bach;bwv244.29-a
[['A4', 1.0], ['A4', 1.0], ['G#4', 1.0], ['F#4', 0.5], ['G#4', 0.25], ['A4', 0.25]];[['E4', 0.5], ['D#4', 0.5], ['E4', 0.5], ['F#4', 0.5], ['G#4', 0.5], ['E4', 0.5], ['E4', 1.0]];[['G#3', 0.5], ['A3', 0.5], ['G#3', 0.5], ['F#3', 0.5], ['B3', 1.0], ['C#4', 1.0]];[['C#3', 0.5], ['B2', 0.5], ['C#3', 0.5], ['D#3', 0.5], ['E3', 0.5], ['G#3', 0.5], ['A3', 0.5], ['F#3', 0.5]];7;bach;bwv244.29-a
[['F#4', 2.0], ['E4', 2.0]];[['E4', 0.5], ['C#4', 0.5], ['D#4', 1.0], ['B3', 2.0]];[['B3', 1.5], ['A3', 0.5], ['G#3', 2.0]];[['B3', 0.5], ['A3', 0.5], ['B3', 1.0], ['E3', 2.0]];8;bach;bwv244.29-a
[['B4', 1.0], ['B4', 1.0], ['C#5', 1.0], ['C#5', 1.0]];[['E4', 1.0], ['E4', 1.0], ['E4', 1.0], ['F#4', 0.5], ['G#4', 0.5]];[['G#3', 0.5], ['A3', 0.5], ['B3', 0.5], ['G#3', 0.5], ['A3', 1.0], ['C#4', 1.0]];[['E3', 0.5], ['F#3', 0.5], ['G#3', 0.5], ['E3', 0.5], ['A3', 0.5], ['B3', 0.5], ['A3', 0.5], ['G#3', 0.5]];9;bach;bwv244.29-a
