soprano;alto;tenor;bass;measure;composer;corpus
[['G4', 1.0], ['G4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['D4', 1.0], ['E4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['B3', 1.0], ['C4', 1.0], ['F#3', 1.0], ['G3', 1.0]];[['G3', 1.0], ['C3', 1.0], ['C3', 1.0], ['B2', 1.0]];0;bach;bwv248.33-3
[['A4', 0.5], ['B4', 0.5], ['C5', 1.0], ['C5', 1.0], ['B4', 1.0]];[['E4', 1.0], ['F4', 1.0], ['G4', 2.0]];[['C4', 1.0], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['D4', 1.0]];[['A2', 1.0], ['A-2', 1.0], ['G2', 2.0]];1;bach;bwv248.33-3
[['C5', 2.0], ['D5', 1.0], ['E5', 1.0]];[['G4', 2.0], ['B4', 0.5], ['A4', 0.5], ['B4', 1.0]];[['E4', 2.0], ['G4', 0.5], ['F4', 0.5], ['E4', 1.0]];[['C3', 2.0], ['G3', 1.0], ['G#3', 1.0]];2;bach;bwv248.33-3
[['C5', 2.0], ['B4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['A4', 2.0], ['G4', 1.0], ['G4', 1.0]];[['E4', 2.0], ['E4', 1.0], ['D4', 1.0]];[['A3', 2.0], ['E3', 1.0], ['B2', 0.5], ['C3', 0.5]];3;bach;bwv248.33-3
[['A4', 2.0]];[['F#4', 2.0]];[['D4', 2.0]];[['D3', 2.0]];4;bach;bwv248.33-3
[['D5', 1.0], ['D5', 1.0]];[['F#4', 1.0], ['G4', 1.0]];[['A3', 1.0], ['B3', 1.0]];[['D3', 1.0], ['G3', 0.5], ['F#3', 0.5]];5;bach;bwv248.33-3
[['C5', 1.0], ['B4', 0.5], ['A4', 0.5], ['A4', 2.0]];[['G4', 1.0], ['G4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['C4', 1.0], ['D4', 1.0], ['E4', 1.0], ['D4', 0.5], ['C4', 0.5]];[['E3', 1.0], ['D3', 1.0], ['C3', 1.0], ['D3', 1.0]];6;bach;bwv248.33-3
[['G4', 2.0], ['G4', 1.0], ['G4', 1.0]];[['D4', 2.0], ['E4', 1.0], ['B3', 0.5], ['C#4', 0.5]];[['B3', 2.0], ['C4', 1.0], ['G3', 1.0]];[['G2', 2.0], ['C3', 0.5], ['D3', 0.5], ['E3', 1.0]];7;bach;bwv248.33-3
[['A4', 1.0], ['G4', 1.0], ['A4', 0.5], ['B4', 0.5], ['C5', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 1.0], ['C4', 0.5], ['D4', 0.5], ['C4', 0.5], ['D4', 0.5]];[['F#3', 1.0], ['G3', 1.0], ['G3', 0.5], ['F3', 0.5], ['G3', 0.5], ['A3', 0.5]];[['D3', 0.5], ['E3', 0.5], ['F3', 1.0], ['E3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F#3', 0.5]];8;bach;bwv248.33-3
[['C5', 1.0], ['B4', 1.0], ['C5', 2.0]];[['E4', 1.0], ['D4', 1.0], ['C4', 2.0]];[['G3', 1.0], ['E4', 1.0], ['E4', 2.0]];[['G3', 1.0], ['G#3', 1.0], ['A3', 2.0]];9;bach;bwv248.33-3
[['D5', 1.0], ['E5', 1.0], ['C5', 2.0]];[['F#4', 1.0], ['G#4', 1.0], ['E4', 2.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 1.0], ['A3', 2.0]];[['B3', 1.0], ['E3', 1.0], ['A3', 2.0]];10;bach;bwv248.33-3
[['B4', 0.5], ['C5', 0.5], ['D5', 1.0], ['A4', 2.0]];[['G4', 1.0], ['F#4', 0.5], ['G4', 0.5], ['A4', 2.0]];[['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['G3', 0.5], ['D4', 2.0]];[['E3', 1.0], ['D3', 0.5], ['E3', 0.5], ['F#3', 2.0]];11;bach;bwv248.33-3
[['D5', 1.0], ['D5', 1.0], ['C5', 1.0], ['B4', 0.5], ['A4', 0.5]];[['G4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['G4', 0.5], ['A4', 0.5], ['D4', 0.5], ['E4', 0.5]];[['B3', 0.5], ['C4', 0.5], ['D4', 1.0], ['E4', 0.5], ['F#4', 0.5], ['G4', 1.0]];[['G3', 0.5], ['A3', 0.5], ['B3', 1.0], ['B3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C4', 0.5]];12;bach;bwv248.33-3
[['A4', 2.0], ['G4', 2.0]];[['F#4', 0.5], ['G4', 1.0], ['F#4', 0.5], ['D4', 2.0]];[['D4', 0.5], ['C4', 0.25], ['B3', 0.25], ['C4', 1.0], ['B3', 2.0]];[['D4', 1.0], ['D3', 1.0], ['G2', 2.0]];13;bach;bwv248.33-3
