soprano;alto;tenor;bass;continuo;measure;composer;corpus
[['F#4', 0.5], ['G#4', 0.5]];[['C#4', 1.0]];[['A3', 0.5], ['B3', 0.5]];[['F#3', 1.0]];[['F#3', 1.0]];0;bach;bwv248.35-3c
[['A4', 1.0], ['G#4', 1.0], ['F#4', 1.0], ['F#4', 0.5], ['G#4', 0.5]];[['F#4', 1.0], ['E#4', 1.0], ['F#4', 1.0], ['F#4', 1.0]];[['C#4', 1.0], ['C#4', 0.5], ['B3', 0.5], ['A3', 1.0], ['B3', 1.0]];[['F#3', 0.25], ['G#3', 0.25], ['A3', 0.25], ['B3', 0.25], ['C#4', 0.5], ['C#3', 0.5], ['D3', 1.0], ['D3', 1.0]];[['F#3', 0.25], ['G#3', 0.25], ['A3', 0.25], ['B3', 0.25], ['C#4', 0.5], ['C#3', 0.5], ['D3', 1.0], ['D3', 1.0]];1;bach;bwv248.35-3c
[['A4', 1.0], ['G#4', 1.0], ['F#4', 1.0], ['C#5', 1.0]];[['F#4', 1.0], ['E#4', 1.0], ['C#4', 1.0], ['F#4', 1.0]];[['C#4', 1.0], ['C#4', 0.5], ['B3', 0.5], ['A3', 1.0], ['A3', 1.0]];[['C#3', 0.5], ['B2', 0.5], ['C#3', 1.0], ['F#2', 1.0], ['F#3', 1.0]];[['C#3', 0.5], ['B2', 0.5], ['C#3', 1.0], ['F#2', 1.0], ['F#3', 1.0]];2;bach;bwv248.35-3c
[['B4', 1.0], ['A4', 1.0], ['G#4', 1.0], ['G#4', 1.0]];[['F#4', 0.5], ['E#4', 0.5], ['F#4', 1.0], ['E#4', 1.0], ['E#4', 1.0]];[['B3', 1.0], ['C#4', 1.0], ['C#4', 1.0], ['C#4', 1.0]];[['G#3', 1.0], ['A3', 0.5], ['B3', 0.5], ['C#4', 1.0], ['C#3', 1.0]];[['G#3', 1.0], ['A3', 0.5], ['B3', 0.5], ['C#4', 1.0], ['C#3', 1.0]];3;bach;bwv248.35-3c
[['A4', 1.0], ['A4', 1.0], ['B4', 1.0], ['B4', 1.0]];[['F#4', 1.0], ['F#4', 1.0], ['F#4', 0.5], ['G#4', 0.25], ['A4', 0.25], ['G#4', 1.0]];[['C#4', 1.0], ['D4', 1.0], ['D4', 0.5], ['E4', 0.25], ['F#4', 0.25], ['E4', 0.5], ['D4', 0.5]];[['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['D3', 0.5], ['B2', 0.5], ['E3', 1.0]];[['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['D3', 0.5], ['B2', 0.5], ['E3', 0.5], ['E2', 0.5]];4;bach;bwv248.35-3c
[['C#5', 1.0], ['C#5', 1.0], ['B4', 1.0], ['A4', 1.0]];[['G#4', 0.5], ['F#4', 0.5], ['E#4', 0.5], ['F#4', 0.5], ['G#4', 1.5], ['F#4', 0.5]];[['C#4', 1.0], ['B3', 0.5], ['A3', 0.5], ['D4', 0.5], ['C#4', 0.5], ['C#4', 0.5], ['D4', 0.5]];[['A2', 0.5], ['A3', 0.5], ['G#3', 0.5], ['F#3', 0.5], ['F#3', 0.5], ['E#3', 0.5], ['F#3', 0.5], ['D3', 0.5]];[['A2', 0.5], ['A3', 0.5], ['G#3', 0.5], ['F#3', 0.5], ['F#3', 0.5], ['E#3', 0.5], ['F#3', 0.5], ['D3', 0.5]];5;bach;bwv248.35-3c
[['G#4', 2.0], ['F#4', 1.0], ['C#5', 1.0]];[['F#4', 1.0], ['E#4', 1.0], ['C#4', 1.0], ['F#4', 1.0]];[['D4', 0.5], ['B3', 0.5], ['G#3', 0.5], ['C#4', 0.5], ['A3', 1.0], ['A3', 1.0]];[['B2', 0.5], ['G#2', 0.5], ['C#3', 1.0], ['F#2', 1.0], ['F#3', 0.5], ['E3', 0.5]];[['B2', 0.5], ['G#2', 0.5], ['C#3', 1.0], ['F#2', 1.0], ['F#3', 0.5], ['E3', 0.5]];6;bach;bwv248.35-3c
[['B4', 1.0], ['A4', 0.5], ['G#4', 0.5], ['G#4', 1.0], ['C#5', 1.0]];[['F#4', 0.5], ['E#4', 0.5], ['F#4', 1.0], ['E#4', 1.0], ['F#4', 0.5], ['E4', 0.5]];[['B3', 0.5], ['C#4', 0.5], ['D#4', 1.0], ['C#4', 1.0], ['C#4', 1.0]];[['D3', 0.5], ['C#3', 0.5], ['B#2', 1.0], ['C#3', 1.0], ['A2', 1.0]];[['D3', 0.5], ['C#3', 0.5], ['B#2', 1.0], ['C#3', 1.0], ['A2', 1.0]];7;bach;bwv248.35-3c
[['B4', 1.0], ['A4', 1.0], ['G#4', 1.0], ['G#4', 1.0]];[['D#4', 0.5], ['E4', 0.5], ['F#4', 0.5], ['D#4', 0.5], ['E4', 1.0], ['G#4', 0.5], ['E#4', 0.5]];[['F#3', 1.0], ['B3', 1.0], ['B3', 1.0], ['C#4', 1.0]];[['B2', 0.5], ['C#3', 0.5], ['D#3', 0.5], ['B2', 0.5], ['E3', 1.0], ['E#3', 0.5], ['C#3', 0.5]];[['B2', 0.5], ['C#3', 0.5], ['D#3', 0.5], ['B2', 0.5], ['E3', 1.0], ['E#3', 0.5], ['C#3', 0.5]];8;bach;bwv248.35-3c
[['A4', 1.0], ['A4', 1.0], ['B4', 1.0], ['B4', 1.0]];[['F#4', 1.0], ['A4', 0.5], ['F#4', 0.5], ['D4', 1.0], ['B4', 0.5], ['G#4', 0.5]];[['C#4', 0.5], ['A3', 0.5], ['D4', 1.0], ['D4', 0.5], ['B3', 0.5], ['E4', 1.0]];[['F#3', 1.0], ['F#3', 0.5], ['D3', 0.5], ['G3', 1.0], ['G#3', 0.5], ['E3', 0.5]];[['F#3', 0.5], ['F#2', 0.5], ['F#3', 0.5], ['D3', 0.5], ['G3', 0.5], ['G2', 0.5], ['G#3', 0.5], ['E3', 0.5]];9;bach;bwv248.35-3c
[['C#5', 1.0], ['C#5', 1.0], ['B4', 1.0], ['A4', 0.5], ['G#4', 0.5]];[['A4', 0.5], ['G4', 0.5], ['F#4', 1.0], ['F#4', 0.5], ['E#4', 0.5], ['F#4', 1.0]];[['E4', 0.5], ['C#4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['D4', 0.5], ['C#4', 0.5], ['D#4', 1.0]];[['A3', 1.0], ['A#3', 0.5], ['F#3', 0.5], ['B3', 1.0], ['B#3', 0.5], ['G#3', 0.5]];[['A3', 0.5], ['A2', 0.5], ['A#3', 0.5], ['F#3', 0.5], ['B3', 0.5], ['B2', 0.5], ['B#3', 0.5], ['G#3', 0.5]];10;bach;bwv248.35-3c
[['G#4', 2.0], ['F#4', 1.0]];[['F#4', 0.5], ['E#4', 0.25], ['D#4', 0.25], ['E#4', 1.0], ['C#4', 1.0]];[['C#4', 0.5], ['G#3', 0.5], ['C#4', 0.5], ['B3', 0.5], ['A3', 1.0]];[['C#4', 1.0], ['C#3', 1.0], ['F#3', 1.0]];[['C#4', 0.5], ['B3', 0.5], ['C#4', 0.5], ['C#3', 0.5], ['F#2', 1.0]];11;bach;bwv248.35-3c
