soprano;alto;tenor;bass;continuo;measure;composer;corpus
[['G4', 1.0]];[['D4', 1.0]];[['B3', 1.0]];[['G3', 0.5], ['F#3', 0.5]];[['G3', 0.5], ['F#3', 0.5]];0;bach;bwv248.59-6
[['G4', 0.5], ['A4', 0.5], ['B4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['E4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['G4', 1.0]];[['B3', 1.0], ['E4', 1.0], ['E4', 0.5], ['D4', 0.5], ['D4', 1.0]];[['E3', 1.5], ['D3', 0.5], ['C3', 1.5], ['B2', 0.5]];[['E3', 0.5], ['E2', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5], ['C2', 0.5], ['C3', 0.5], ['B2', 0.5]];1;bach;bwv248.59-6
[['A4', 1.0], ['A4', 1.0], ['B4', 1.0], ['G4', 0.5], ['A4', 0.5]];[['G4', 1.0], ['F#4', 1.0], ['G4', 1.0], ['E4', 0.5], ['F#4', 0.5]];[['E4', 0.5], ['C4', 0.5], ['A3', 0.5], ['D4', 0.5], ['D4', 1.0], ['E4', 1.0]];[['C3', 0.5], ['A2', 0.5], ['D3', 1.0], ['G2', 1.0], ['C3', 1.0]];[['C3', 0.5], ['A2', 0.5], ['D3', 0.5], ['D2', 0.5], ['G2', 1.0], ['C3', 1.0]];2;bach;bwv248.59-6
[['B4', 1.0], ['C5', 1.0], ['D5', 1.0], ['C5', 0.5], ['B4', 0.5]];[['G4', 0.5], ['B4', 1.0], ['A4', 0.25], ['G4', 0.25], ['F#4', 1.0], ['G4', 1.0]];[['D4', 1.0], ['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C4', 0.5], ['D4', 1.0]];[['G3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['B3', 0.5], ['A3', 0.5], ['G3', 1.0]];[['G3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['E2', 0.5], ['B2', 0.5], ['A2', 0.5], ['G2', 0.5], ['B2', 0.5]];3;bach;bwv248.59-6
[['A4', 0.5], ['G4', 0.5], ['A4', 1.0], ['G4', 1.0]];[['G4', 1.0], ['F#4', 1.0], ['D4', 1.0]];[['D4', 1.0], ['C4', 0.5], ['B3', 0.5], ['B3', 1.0]];[['D4', 1.0], ['D3', 1.0], ['G3', 1.0]];[['D3', 1.0], ['D2', 1.0], ['G2', 1.0]];4;bach;bwv248.59-6
[['B4', 1.0]];[['G4', 1.0]];[['D4', 1.0]];[['G3', 0.5], ['A3', 0.5]];[['G2', 0.5], ['A2', 0.5]];5;bach;bwv248.59-6
[['B4', 1.0], ['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['G4', 1.5], ['F#4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['E4', 0.5], ['D#4', 0.5]];[['D4', 1.0], ['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['C4', 0.5], ['F#3', 0.5], ['B3', 0.5]];[['B3', 0.5], ['C4', 0.5], ['D4', 1.0], ['G3', 0.5], ['A3', 0.5], ['B3', 1.0]];[['B2', 0.5], ['C3', 0.5], ['D3', 0.5], ['D2', 0.5], ['G2', 0.5], ['A2', 0.5], ['B2', 0.5], ['B3', 0.5]];6;bach;bwv248.59-6
[['G4', 0.5], ['A4', 0.5], ['B4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['E4', 1.0], ['D4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['B3', 0.5], ['A3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 1.0], ['F#3', 1.0]];[['E3', 0.5], ['F#3', 0.5], ['G3', 1.0], ['D3', 1.0], ['D4', 0.5], ['C4', 0.5]];[['E3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['G2', 0.5], ['D3', 1.0], ['D3', 0.5], ['C3', 0.5]];7;bach;bwv248.59-6
[['G4', 1.0], ['F#4', 1.0], ['G4', 1.0], ['D4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['D4', 1.0], ['D4', 0.5], ['C4', 0.5], ['B3', 1.0]];[['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 1.0]];[['B3', 1.5], ['A3', 0.5], ['G3', 1.5], ['F#3', 0.5]];[['B2', 0.5], ['B3', 0.5], ['B2', 0.5], ['A2', 0.5], ['G2', 0.5], ['G3', 0.5], ['G2', 0.5], ['F#2', 0.5]];8;bach;bwv248.59-6
[['G4', 1.0], ['A4', 1.0], ['B4', 1.0], ['G4', 0.5], ['A4', 0.5]];[['B3', 1.0], ['E4', 1.0], ['D#4', 1.0], ['B3', 1.0]];[['G3', 1.0], ['F#3', 0.5], ['E3', 0.5], ['F#3', 1.0], ['E3', 0.5], ['F#3', 0.5]];[['E3', 0.5], ['D3', 0.5], ['C3', 1.0], ['B2', 1.0], ['E3', 1.0]];[['E2', 0.5], ['D2', 0.5], ['C2', 0.5], ['C3', 0.5], ['B2', 1.0], ['E2', 1.0]];9;bach;bwv248.59-6
