trumpet__;trumpet__;trumpet__;timpani;oboe__;oboe__;violin__;violin__;viola;soprano;alto;tenor;bass;continuo;measure;composer;corpus
[('P', 0.5), ['A4', 0.5]];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];[('P', 0.5), ('P', 0.5)];0;bach;bwv248.64-6
[['D5', 0.25], ['E5', 0.25], ['F#5', 0.25], ['E5', 0.25], ['D5', 0.5], ['A4', 0.5], ['A4', 0.5], ['F#4', 0.5], ['F#4', 0.5], ['D4', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 1.0), ('P', 0.25), ['A4', 0.25], ['B4', 0.25], ['C#5', 0.25], ['D5', 0.25], ['A4', 0.25], ['D5', 0.25], ['E5', 0.25], ['F#5', 0.25], ['D5', 0.25], ['F#5', 0.25], ['G5', 0.25]];[('P', 2.0), ('P', 0.25), ['A4', 0.25], ['B4', 0.25], ['C#5', 0.25], ['D5', 0.25], ['A4', 0.25], ['D5', 0.25], ['E5', 0.25]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D3', 0.5], ['D2', 0.5], ('P', 1.0), ('P', 2.0)];1;bach;bwv248.64-6
[['D4', 0.5], ['A5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['F#5', 0.5], ['E5', 0.5], ('P', 0.5), ['A4', 0.5]];[('P', 0.5), ['F#5', 0.5], ['E5', 0.5], ['D5', 0.5], ['D5', 0.5], ['A4', 0.5], ('P', 1.0)];[('P', 0.5), ['A4', 0.5], ['A4', 0.5], ['A4', 0.5], ['A4', 0.5], ['A4', 0.5], ('P', 1.0)];[('P', 0.5), ['D3', 0.5], ['A2', 0.5], ['D3', 0.5], ['A2', 0.5], ['A2', 0.5], ('P', 1.0)];[['A5', 0.5], ['A5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['F#5', 0.5], ['E5', 0.5], ('P', 1.0)];[['F#5', 0.5], ['F#5', 0.5], ['E5', 0.5], ['D5', 0.5], ['D5', 0.5], ['C#5', 0.5], ('P', 1.0)];[('P', 0.5), ['A5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['F#5', 0.5], ['E5', 0.5], ('P', 1.0)];[('P', 0.5), ['F#5', 0.5], ['E5', 0.5], ['D5', 0.5], ['D5', 0.5], ['C#5', 0.5], ('P', 1.0)];[('P', 0.5), ['D4', 0.5], ['A3', 0.5], ['A4', 0.5], ['A4', 0.5], ['A3', 0.5], ('P', 1.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 0.5), ['D3', 0.25], ['C#3', 0.25], ['D3', 0.25], ['E3', 0.25], ['F#3', 0.25], ['G3', 0.25], ['A3', 0.25], ['G3', 0.25], ['A3', 0.25], ['B3', 0.25], ['A3', 0.25], ['G3', 0.25], ['F#3', 0.25], ['E3', 0.25]];2;bach;bwv248.64-6
[['D5', 0.25], ['E5', 0.25], ['F#5', 0.5], ['F#5', 0.25], ['G5', 0.25], ['F#5', 0.25], ['E5', 0.25], ['F#5', 0.25], ['E5', 0.25], ['D5', 0.5], ['D5', 0.25], ['A4', 0.25], ['D5', 0.25], ['E5', 0.25]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 1.0), ('P', 0.5), ['D5', 0.5], ['D5', 0.5], ['A4', 0.5], ['A4', 0.5], ['F#4', 0.5]];[('P', 0.5), ['D5', 0.5], ['D5', 0.5], ['A4', 0.5], ['A4', 0.5], ['F#4', 0.5], ['F#4', 0.5], ['D4', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D3', 0.5], ['D2', 0.5], ('P', 1.0), ('P', 2.0)];3;bach;bwv248.64-6
[['F#5', 0.25], ['D5', 0.25], ['A5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['F#5', 0.5], ['E5', 0.5], ('P', 0.5), ['A5', 0.5]];[('P', 0.5), ['F#5', 0.5], ['E5', 0.5], ['D5', 0.5], ['D5', 0.5], ['A4', 0.5], ('P', 1.0)];[('P', 0.5), ['A4', 0.5], ['A4', 0.5], ['A4', 0.5], ['A4', 0.5], ['A4', 0.5], ('P', 1.0)];[('P', 0.5), ['D3', 0.5], ['A2', 0.5], ['D3', 0.5], ['A2', 0.5], ['A2', 0.5], ('P', 1.0)];[['F#4', 0.5], ['A5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['F#5', 0.5], ['E5', 0.5], ('P', 1.0)];[['D4', 0.5], ['F#5', 0.5], ['E5', 0.5], ['D5', 0.5], ['D5', 0.5], ['C#5', 0.5], ('P', 1.0)];[('P', 0.5), ['A5', 0.5], ['G5', 0.5], ['F#5', 0.5], ['F#5', 0.5], ['E5', 0.5], ('P', 1.0)];[('P', 0.5), ['F#5', 0.5], ['E5', 0.5], ['D5', 0.5], ['D5', 0.5], ['C#5', 0.5], ('P', 1.0)];[('P', 0.5), ['D4', 0.5], ['A3', 0.5], ['A4', 0.5], ['A4', 0.5], ['A3', 0.5], ('P', 1.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 0.5), ['D3', 0.25], ['C#3', 0.25], ['D3', 0.25], ['E3', 0.25], ['F#3', 0.25], ['G3', 0.25], ['A3', 0.25], ['G3', 0.25], ['A3', 0.25], ['B3', 0.25], ['A3', 0.25], ['G3', 0.25], ['F#3', 0.25], ['E3', 0.25]];4;bach;bwv248.64-6
[['F#5', 0.25], ['F#5', 0.25], ['G5', 0.25], ['A5', 0.25], ['F#5', 0.25], ['F#5', 0.25], ['G5', 0.25], ['A5', 0.25], ['F#5', 0.5], ['B5', 0.5], ('P', 0.25), ['A5', 0.25], ['G5', 0.25], ['F#5', 0.25]];[('P', 2.0), ('P', 0.5), ['F#5', 0.25], ['E5', 0.25], ['F#5', 0.5], ('P', 0.5)];[('P', 2.0), ('P', 0.5), ['D5', 0.25], ['A4', 0.25], ['F#4', 0.5], ('P', 0.5)];[('P', 2.0), ('P', 0.5), ['D3', 0.25], ['D3', 0.25], ['D3', 0.5], ('P', 0.5)];[('P', 0.5), ['E5', 0.5], ['F#5', 0.5], ('P', 0.5), ('P', 0.5), ['B5', 0.25], ['A5', 0.25], ['B5', 0.5], ('P', 0.5)];[('P', 0.5), ['A4', 0.5], ['A4', 0.5], ('P', 0.5), ('P', 0.5), ['F#5', 0.25], ['E5', 0.25], ['F#5', 0.5], ('P', 0.5)];[('P', 1.0), ('P', 0.5), ['E5', 0.5], ['F#5', 0.5], ['B5', 0.25], ['A5', 0.25], ['B5', 0.5], ('P', 0.5)];[('P', 1.0), ('P', 0.5), ['E5', 0.5], ['D5', 0.5], ['F#5', 0.25], ['E5', 0.25], ['F#5', 0.5], ('P', 0.5)];[('P', 1.0), ('P', 0.5), ['A4', 0.5], ['A4', 0.5], ['D5', 0.25], ['A4', 0.25], ['F#4', 0.5], ('P', 0.5)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D3', 0.5], ['C#3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['D3', 0.5], ['D4', 0.25], ['C#4', 0.25], ['D4', 0.5], ['B3', 0.5]];5;bach;bwv248.64-6
[['E5', 0.25], ['E5', 0.25], ['F#5', 0.25], ['G5', 0.25], ['E5', 0.25], ['E5', 0.25], ['F#5', 0.25], ['G5', 0.25], ['E5', 0.5], ['A5', 0.5], ('P', 0.25), ['G5', 0.25], ['F#5', 0.25], ['E5', 0.25]];[('P', 2.0), ('P', 0.5), ['E5', 0.25], ['D5', 0.25], ['E5', 0.5], ('P', 0.5)];[('P', 2.0), ('P', 0.5), ['A4', 0.25], ['A4', 0.25], ['A4', 0.5], ('P', 0.5)];[('P', 2.0), ('P', 0.5), ['A2', 0.25], ['A2', 0.25], ['A2', 0.5], ('P', 0.5)];[('P', 0.5), ['D5', 0.5], ['E5', 0.5], ('P', 0.5), ('P', 0.5), ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ('P', 0.5)];[('P', 0.5), ['A4', 0.5], ['A4', 0.5], ('P', 0.5), ('P', 0.5), ['E5', 0.25], ['D5', 0.25], ['E5', 0.5], ('P', 0.5)];[('P', 1.0), ('P', 0.5), ['D5', 0.5], ['E5', 0.5], ['A5', 0.25], ['G5', 0.25], ['A5', 0.5], ('P', 0.5)];[('P', 1.0), ('P', 0.5), ['A4', 0.5], ['A4', 0.5], ['E5', 0.25], ['D5', 0.25], ['E5', 0.5], ('P', 0.5)];[('P', 1.0), ('P', 0.5), ['B4', 0.5], ['E4', 0.5], ['A3', 0.25], ['B3', 0.25], ['A3', 0.5], ('P', 0.5)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C#3', 0.5], ['B2', 0.5], ['C#3', 0.5], ['B2', 0.5], ['C#3', 0.5], ['C#4', 0.25], ['B3', 0.25], ['C#4', 0.5], ['A3', 0.5]];6;bach;bwv248.64-6
[['D5', 0.25], ['D6', 0.25], ['C#6', 0.25], ['B5', 0.25], ['D5', 0.25], ['C#6', 0.25], ['B5', 0.25], ['A5', 0.25], ['D5', 0.25], ['B5', 0.25], ['A5', 0.25], ['G5', 0.25], ['D5', 0.25], ['A5', 0.25], ['G5', 0.25], ['F#5', 0.25]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 0.5), ['F#5', 0.5], ['F#5', 0.5], ['F#5', 0.5], ('P', 0.5), ['G5', 0.5], ['A5', 0.5], ['A5', 0.5]];[('P', 0.5), ['D5', 0.5], ['D5', 0.5], ['D5', 0.5], ('P', 0.5), ['D5', 0.5], ['F#5', 0.5], ['F#5', 0.5]];[['D5', 4.0]];[['B4', 4.0]];[['F#4', 2.0], ['B3', 1.0], ['D4', 1.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['B2', 0.5], ['B3', 0.5], ['A3', 0.5], ['A2', 0.5], ['G2', 0.5], ['G3', 0.5], ['F#3', 0.5], ['F#2', 0.5]];7;bach;bwv248.64-6
[['G5', 0.5], ['E5', 0.5], ['E5', 0.5], ['A4', 0.5], ['A4', 0.5], ['G5', 0.5], ('P', 0.5), ['A5', 0.5]];[('P', 2.0), ('P', 0.5), ['E5', 0.25], ['E5', 0.25], ['E5', 0.5], ['E5', 0.5]];[('P', 2.0), ('P', 0.5), ['A4', 0.25], ['A4', 0.25], ['A4', 0.5], ['A4', 0.5]];[('P', 2.0), ('P', 0.5), ['A2', 0.25], ['A2', 0.25], ['A2', 0.5], ['A2', 0.5]];[('P', 0.5), ['B5', 0.25], ['A5', 0.25], ['G5', 0.5], ('P', 0.5), ('P', 0.5), ['G5', 0.25], ['F#5', 0.25], ['G5', 0.5], ['A5', 0.5]];[('P', 0.5), ['G5', 0.25], ['F#5', 0.25], ['E5', 0.5], ('P', 0.5), ('P', 0.5), ['A4', 0.5], ['C#5', 0.5], ['E5', 0.5]];[['D5', 0.5], ['E4', 0.25], ['F#4', 0.25], ['G4', 0.25], ['E4', 0.25], ['F#4', 0.25], ['G4', 0.25], ['A4', 0.25], ['E4', 0.25], ['A4', 0.25], ['C#5', 0.25], ['E5', 0.25], ['C#5', 0.25], ['A4', 0.25], ['A5', 0.25]];[['B4', 0.5], ['B5', 0.5], ['G5', 0.5], ['D5', 0.5], ('P', 0.5), ['E5', 0.5], ['C#5', 0.5], ['E5', 0.5]];[['E4', 0.5], ['B3', 0.5], ['E4', 0.5], ['A4', 0.5], ('P', 0.5), ['A4', 0.5], ['E4', 0.5], ['E4', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E2', 0.25], ['F#2', 0.25], ['G2', 0.25], ['A2', 0.25], ['B2', 0.25], ['C#3', 0.25], ['D3', 0.25], ['B2', 0.25], ['C#3', 0.25], ['A2', 0.25], ['C#3', 0.25], ['E3', 0.25], ['A3', 0.5], ['C#3', 0.5]];8;bach;bwv248.64-6
[['G5', 0.25], ['F#5', 0.25], ['E5', 0.25], ['D5', 0.25], ['F#5', 0.5], ['E5', 0.5], ['D5', 1.0], ['D5', 0.25], ['E5', 0.125], ['F#5', 0.125], ['G5', 0.25], ['F#5', 0.125], ['E5', 0.125]];[['D5', 0.5], ['F#5', 0.5], ['B5', 0.5], ['A5', 0.25], ['G5', 0.25], ['F#5', 0.5], ('P', 0.5), ('P', 1.0)];[['A4', 0.5], ['D4', 0.25], ['D4', 0.25], ['D4', 0.5], ['A4', 0.5], ['D4', 0.5], ('P', 0.5), ('P', 1.0)];[['D3', 0.5], ['D3', 0.25], ['D3', 0.25], ['D3', 0.5], ['A2', 0.5], ['D3', 0.5], ('P', 0.5), ('P', 1.0)];[['G5', 0.25], ['F#5', 0.25], ['E5', 0.25], ['D5', 0.25], ['F#5', 0.5], ['E5', 0.5], ['D5', 0.5], ['D6', 0.25], ['C#6', 0.25], ['D6', 0.5], ['D5', 0.5]];[['D5', 0.5], ['D5', 0.5], ['D5', 0.5], ['C#5', 0.5], ['D5', 0.5], ('P', 0.5), ('P', 0.5), ['D5', 0.5]];[['G5', 0.25], ['F#5', 0.25], ['E5', 0.25], ['D5', 0.25], ['F#5', 0.5], ['E5', 0.5], ['D5', 0.5], ['D6', 0.25], ['C#6', 0.25], ['D6', 0.5], ['D5', 0.5]];[['A4', 0.5], ['B4', 0.5], ['B4', 0.5], ['C#5', 0.5], ['F#4', 0.5], ('P', 0.5), ('P', 0.5), ['G5', 0.5]];[['F#4', 0.5], ['F#4', 0.5], ['B3', 0.5], ['E4', 0.5], ['B4', 0.5], ('P', 0.5), ('P', 0.5), ['B4', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D3', 0.5], ['B2', 0.5], ['G2', 0.5], ['A2', 0.5], ['B2', 0.5], ['B3', 0.25], ['A3', 0.25], ['B3', 0.5], ['B2', 0.5]];9;bach;bwv248.64-6
