trumpet____;trumpet__;timpani;soprano;alto;tenor;bass;continuo;measure;composer;corpus
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['D5', 1.0]];[['A4', 1.0]];[['F#4', 1.0]];[['D3', 1.0]];[['D3', 1.0]];0;bach;bwv248.9-1
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C#5', 1.0], ['B4', 1.0], ['C#5', 1.0], ['A4', 1.0]];[['A4', 0.5], ['G#4', 0.5], ['F#4', 1.0], ['E4', 1.0], ['F#4', 0.5], ['E4', 0.5]];[['E4', 1.0], ['D4', 1.0], ['C#4', 1.0], ['D4', 0.5], ['C#4', 0.5]];[['A3', 1.0], ['A3', 0.5], ['G#3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 1.0]];[['A3', 1.0], ['A3', 0.5], ['G#3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 1.0]];1;bach;bwv248.9-1
[('P', 2.0), ('P', 0.5), (['D5', 'F#5'], 0.25), (['E5', 'G5'], 0.25), (['D5', 'F#5'], 0.5), (['D5', 'F#5'], 0.5)];[('P', 2.0), ['A4', 1.0], ('P', 0.5), ['A4', 0.25], ['F#4', 0.25]];[('P', 2.0), ['D3', 1.0], ('P', 0.5), ['D3', 0.25], ['D3', 0.25]];[['B4', 1.0], ['C#5', 1.0], ['D5', 1.0], ('P', 1.0)];[['D4', 1.0], ['E4', 1.0], ['F#4', 1.0], ('P', 1.0)];[['B3', 0.5], ['A3', 0.5], ['G3', 1.0], ['A3', 1.0], ('P', 1.0)];[['G3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['D3', 1.0], ('P', 1.0)];[['G3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['D3', 0.5], ['D4', 0.5], ('P', 0.25), ['D3', 0.25], ['F#3', 0.25], ['D3', 0.25]];2;bach;bwv248.9-1
[('P', 0.5), (['D5', 'F#5'], 0.25), (['E5', 'G5'], 0.25), (['D5', 'F#5'], 0.5), (['D5', 'F#5'], 0.5), ('P', 0.5), (['G5', 'B5'], 0.5), (['F#5', 'A5'], 0.5), (['E5', 'G5'], 0.5)];[['D4', 0.5], ['F#4', 0.5], ('P', 0.5), ['F#4', 0.25], ['A4', 0.25], ['D5', 0.5], ['D5', 0.5], ['D5', 0.5], ['A4', 0.5]];[['D3', 1.0], ('P', 0.5), ['D3', 0.25], ['D3', 0.25], ['D3', 0.5], ['D3', 0.5], ['A2', 0.5], ['A2', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['B2', 0.5], ['B3', 0.5], ('P', 0.25), ['B2', 0.25], ['D3', 0.25], ['B2', 0.25], ['G2', 0.5], ['G3', 0.5], ['A3', 0.5], ['A2', 0.5]];3;bach;bwv248.9-1
[(['D5', 'F#5'], 0.25), (['F#5', 'A5'], 0.25), (['G5', 'B5'], 0.25), (['E5', 'C#6'], 0.25), (['F#5', 'D6'], 0.5), ('P', 0.5), ('P', 2.0)];[['A4', 1.0], ('P', 1.0), ('P', 2.0)];[['D3', 1.0], ('P', 1.0), ('P', 2.0)];[('P', 1.0), ['D5', 1.0], ['D5', 1.0], ['A4', 1.0]];[('P', 1.0), ['F#4', 0.5], ['G4', 0.5], ['A4', 0.5], ['G4', 0.5], ['F#4', 1.0]];[('P', 1.0), ['A3', 1.0], ['D4', 1.0], ['D4', 1.0]];[('P', 1.0), ['D3', 0.5], ['E3', 0.5], ['F#3', 1.0], ['F#3', 0.5], ['G3', 0.5]];[['D3', 0.5], ['D2', 0.5], ['D3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['F#2', 0.5], ['F#3', 0.5], ['G3', 0.5]];4;bach;bwv248.9-1
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A4', 1.0], ['F#4', 0.5], ['G4', 0.5], ['A4', 1.0], ['G4', 1.0]];[['E4', 1.0], ['D4', 1.0], ['D4', 1.0], ['E4', 1.0]];[['C#4', 1.0], ['C4', 0.5], ['B3', 0.5], ['A3', 1.0], ['A3', 1.0]];[['A3', 1.0], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5]];[['A3', 0.5], ['A2', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5]];5;bach;bwv248.9-1
[('P', 0.5), (['F#4', 'D5'], 0.25), (['A4', 'E5'], 0.25), (['F#4', 'D5'], 0.5), (['F#4', 'D5'], 0.5), ('P', 0.5), (['F#4', 'D5'], 0.25), (['A4', 'E5'], 0.25), (['F#4', 'D5'], 0.5), (['F#4', 'D5'], 0.5)];[['A4', 1.0], ('P', 0.5), ['A4', 0.25], ['F#4', 0.25], ['D4', 0.5], ['F#4', 0.5], ('P', 0.5), ['F#4', 0.25], ['A4', 0.25]];[['D3', 1.0], ('P', 0.5), ['D3', 0.25], ['D3', 0.25], ['D3', 1.0], ('P', 0.5), ['D3', 0.25], ['D3', 0.25]];[['F#4', 1.0], ('P', 1.0), ('P', 2.0)];[['D4', 1.0], ('P', 1.0), ('P', 2.0)];[['A3', 1.0], ('P', 1.0), ('P', 2.0)];[['D3', 1.0], ('P', 1.0), ('P', 2.0)];[['D3', 0.5], ['D4', 0.5], ('P', 0.25), ['D3', 0.25], ['F#3', 0.25], ['D3', 0.25], ['B2', 0.5], ['B3', 0.5], ('P', 0.25), ['B2', 0.25], ['D3', 0.25], ['B2', 0.25]];6;bach;bwv248.9-1
[('P', 0.5), (['E5', 'G5'], 0.5), (['D5', 'F#5'], 0.5), (['A4', 'E5'], 0.5), (['F#4', 'D5'], 0.25), (['D4', 'A4'], 0.25), (['F#4', 'D5'], 0.25), (['A4', 'E5'], 0.25), (['D5', 'F#5'], 0.5), ('P', 0.5)];[['D5', 0.5], ['D5', 0.25], ['E5', 0.25], ['F#5', 0.25], ['G5', 0.25], ['A5', 0.5], ['A4', 1.0], ('P', 1.0)];[['D3', 0.5], ['D3', 0.5], ['A2', 0.5], ['A2', 0.5], ['D3', 1.0], ('P', 1.0)];[('P', 2.0), ('P', 1.0), ['F#4', 1.0]];[('P', 2.0), ('P', 1.0), ['D4', 0.5], ['E4', 0.5]];[('P', 2.0), ('P', 1.0), ['A3', 1.0]];[('P', 2.0), ('P', 1.0), ['D3', 1.0]];[['G2', 0.5], ['G3', 0.5], ['A3', 0.5], ['A2', 0.5], ['D3', 0.5], ['D2', 0.5], ['D3', 0.5], ['C#3', 0.5]];7;bach;bwv248.9-1
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['B4', 1.0], ['B4', 1.0], ['A4', 0.5], ['B4', 0.5], ['C#5', 1.0]];[['F#4', 1.0], ['E4', 1.0], ['E4', 0.5], ['G#4', 0.5], ['A4', 1.0]];[['A3', 1.0], ['G#3', 1.0], ['A3', 0.5], ['D4', 0.5], ['C#4', 0.5], ['B3', 0.5]];[['D#3', 1.0], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['B2', 0.5], ['A2', 1.0]];[['D#3', 0.5], ['B2', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['B2', 0.5], ['A2', 0.5], ['G#2', 0.5]];8;bach;bwv248.9-1
[('P', 2.0), ('P', 0.5), (['A5', 'C#6'], 0.25), (['B5', 'D6'], 0.25), (['A5', 'C#6'], 0.5), (['A5', 'C#6'], 0.5)];[('P', 2.0), ['A4', 1.0], ('P', 0.5), ['A4', 0.25], ['E5', 0.25]];[('P', 2.0), ['A2', 1.0], ('P', 0.5), ['A2', 0.25], ['A2', 0.25]];[['D5', 0.5], ['C#5', 0.5], ['B4', 1.0], ['A4', 1.0], ('P', 1.0)];[['A4', 1.0], ['A4', 0.5], ['G#4', 0.5], ['E4', 1.0], ('P', 1.0)];[['A3', 0.5], ['C#4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['C#4', 1.0], ('P', 1.0)];[['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['E3', 0.5], ['A2', 1.0], ('P', 1.0)];[['F#2', 0.5], ['E2', 0.5], ['D2', 0.5], ['E2', 0.5], ['A2', 0.5], ['A3', 0.5], ('P', 0.25), ['A2', 0.25], ['C#3', 0.25], ['A2', 0.25]];9;bach;bwv248.9-1
