soprano__;soprano__;alto;tenor;bass;measure;composer;corpus
[('P', 2.0), ('P', 1.0), ['D5', 0.5], ['D5', 0.5]];[('P', 2.0), ('P', 1.0), ['B-4', 0.5], ['B-4', 0.5]];[['F4', 1.0], ['F4', 1.0], ['F4', 2.0]];[['D4', 1.0], ['D4', 1.0], ['D4', 2.0]];[['B-3', 1.0], ['B-3', 1.0], ['B-3', 2.0]];0;bach;bwv27.6
[['F5', 1.5], ['F5', 0.5], ['E-5', 1.0], ['C5', 1.0]];[['D5', 1.0], ['B-4', 1.0], ['C5', 1.0], ['A4', 1.0]];[['F4', 1.0], ['F4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['D4', 1.0], ['D4', 1.0], ['C4', 1.0], ['C4', 1.0]];[['B-3', 1.0], ['D3', 1.0], ['E-3', 1.0], ['F3', 1.0]];1;bach;bwv27.6
[['D5', 2.0], ['C5', 2.0]];[['B-4', 2.0], ['A4', 2.0]];[['F4', 2.0], ['F4', 1.0], ['F4', 0.5], ['F4', 0.5]];[['B-3', 2.0], ['C4', 1.0], ['A3', 0.5], ['A3', 0.5]];[['B-2', 2.0], ['F2', 1.0], ['F3', 0.5], ['F3', 0.5]];2;bach;bwv27.6
[('P', 1.0), ['B-4', 0.5], ['B-4', 0.5], ['B-4', 0.5], ['A4', 0.5], ['B-4', 0.5], ['C5', 0.5]];[('P', 1.0), ['G4', 0.5], ['G4', 0.5], ['G4', 1.0], ['G4', 1.0]];[['D4', 3.0], ['B-3', 1.0]];[['B-3', 3.0], ['B-3', 1.0]];[['G3', 3.0], ['G3', 1.0]];3;bach;bwv27.6
[['D5', 1.0], ['C5', 1.0], ['B-4', 2.0]];[['F4', 1.5], ['F4', 0.5], ['F4', 2.0]];[['B-3', 1.0], ['C4', 1.0], ['D4', 2.0]];[['B-3', 1.0], ['A3', 1.0], ['B-3', 2.0]];[['B-3', 1.0], ['F3', 1.0], ['B-2', 2.0]];4;bach;bwv27.6
[['D5', 1.0], ['E5', 1.0], ['F5', 1.0], ['D5', 1.0]];[['F4', 1.0], ['C5', 1.0], ['A4', 1.0], ['B-4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['B-3', 1.0], ['G3', 1.0], ['F3', 1.0], ['B-3', 1.0]];[['B-2', 1.0], ['C3', 1.0], ['D3', 1.0], ['B-2', 1.0]];5;bach;bwv27.6
[['C5', 1.0], ['B-4', 1.0], ['A4', 2.0]];[['A4', 1.0], ['G4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['F4', 1.0], ['D4', 1.0], ['D4', 2.0]];[['C4', 1.0], ['G3', 1.0], ['A3', 2.0]];[['F2', 1.0], ['G2', 1.0], ['D3', 2.0]];6;bach;bwv27.6
[['G4', 1.0], ['D5', 0.5], ['D5', 0.5], ['E-5', 2.0]];[['G4', 1.0], ['B-4', 0.5], ['B-4', 0.5], ['B-4', 2.0]];[['D4', 2.0], ['G4', 1.0], ['G4', 1.0]];[['B-3', 3.0], ['B-3', 0.5], ['B-3', 0.5]];[['G2', 3.0], ['G3', 0.5], ['G3', 0.5]];7;bach;bwv27.6
[['E-5', 1.0], ['D5', 1.0], ['C5', 1.5], ['C5', 0.5]];[['F4', 1.0], ['B-4', 2.0], ['A4', 1.0]];[['F4', 1.5], ['F4', 0.5], ['F4', 1.0], ['F4', 1.0]];[['C4', 1.0], ['B-3', 1.0], ['C4', 1.5], ['C4', 0.5]];[['A3', 1.0], ['B-3', 1.0], ['F3', 1.5], ['F3', 0.5]];8;bach;bwv27.6
[['B-4', 4.0]];[['B-4', 4.0]];[['F4', 4.0]];[['D4', 4.0]];[['B-2', 4.0]];9;bach;bwv27.6
