trumpet__;trumpet__;trumpet__;soprano;alto;tenor;bass;timpani;measure;composer;corpus
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['D5', 1.0]];[['A4', 1.0]];[['F#4', 1.0]];[['D4', 0.5], ['C#4', 0.5]];[('P', 1.0)];0;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 2.0], ['C#5', 1.0]];[['B4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['F#4', 2.0], ['F#4', 0.5], ['E4', 0.5]];[['B3', 1.0], ['F#3', 2.0]];[('P', 3.0)];1;bach;bwv29.8
[('P', 1.0), ('P', 1.0), ['A5', 1.0]];[('P', 1.0), ('P', 1.0), ['F#5', 1.0]];[('P', 1.0), ('P', 1.0), ['F#4', 0.5], ['A4', 0.5]];[['B4', 2.0], ['A4', 1.0]];[['A4', 1.0], ['G4', 1.0], ['A4', 0.5], ['G4', 0.5]];[['D4', 1.0], ['E4', 0.5], ['D4', 0.5], ['C#4', 1.0]];[['G3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['F#3', 1.0]];[('P', 1.0), ('P', 1.0), ['A2', 1.0]];2;bach;bwv29.8
[['D5', 1.0], ['G5', 0.5], ['F#5', 0.5], ['E5', 0.5], ['G5', 0.5]];[['F#5', 1.0], ['E5', 2.0]];[['D5', 1.0], ['D4', 1.0], ['A4', 1.0]];[['D5', 1.0], ['E5', 2.0]];[['F#4', 1.0], ['B4', 1.0], ['A4', 1.0]];[['D4', 2.0], ['C#4', 1.0]];[['B3', 0.5], ['A3', 0.5], ['G3', 1.0], ['A3', 1.0]];[['D3', 1.0], ('P', 1.0), ['A2', 1.0]];3;bach;bwv29.8
[['F#5', 2.0], ('P', 1.0)];[['D5', 2.0], ('P', 1.0)];[['A4', 2.0], ('P', 1.0)];[['F#5', 2.0], ['F#5', 1.0]];[['A4', 2.0], ['A4', 1.0]];[['D4', 2.0], ['D4', 1.0]];[['D3', 2.0], ['D3', 1.0]];[['D3', 2.0], ('P', 1.0)];4;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['F#5', 0.5], ['E5', 0.5], ['F#5', 2.0]];[['A4', 2.0], ['C#5', 1.0]];[['D4', 2.0], ['C#4', 1.0]];[['D4', 1.5], ['C#4', 0.5], ['B3', 0.5], ['A#3', 0.5]];[('P', 3.0)];5;bach;bwv29.8
[('P', 1.0), ('P', 1.0), ['A5', 1.0]];[('P', 1.0), ('P', 1.0), ['E5', 1.0]];[('P', 1.0), ('P', 1.0), ['A4', 1.0]];[['F#5', 2.0], ['E5', 1.0]];[['F#4', 1.0], ['B4', 1.0], ['E4', 1.0]];[['D4', 2.0], ['C#4', 1.0]];[['B3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['E3', 0.5]];[('P', 1.0), ('P', 1.0), ['A2', 1.0]];6;bach;bwv29.8
[['D5', 1.0], ['G5', 0.5], ['F#5', 0.5], ['E5', 0.5], ['G5', 0.5]];[['A5', 1.0], ['E5', 2.0]];[['A4', 1.0], ('P', 1.0), ['A4', 1.0]];[['D5', 0.5], ['E5', 0.5], ['E5', 2.0]];[['A4', 1.0], ['B4', 1.0], ['A4', 0.5], ['E4', 0.5]];[['D4', 2.0], ['C#4', 1.0]];[['F#3', 1.0], ['G3', 1.0], ['A3', 1.0]];[['D3', 1.0], ('P', 1.0), ['A2', 1.0]];7;bach;bwv29.8
[['F#5', 2.0]];[['D5', 2.0]];[['A4', 2.0]];[['D5', 2.0]];[['F#4', 2.0]];[['A3', 2.0]];[['D3', 2.0]];[['D3', 2.0]];8;bach;bwv29.8
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['D5', 1.0]];[['A4', 1.0]];[['D4', 1.0]];[['F#3', 1.0]];[('P', 1.0)];9;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['D5', 1.0], ['E5', 1.0], ['F#5', 1.0]];[['B4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['G4', 1.0], ['C#4', 1.0], ['D4', 1.0]];[['G3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 0.5]];[('P', 3.0)];10;bach;bwv29.8
[('P', 3.0)];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['F#5', 0.5], ['E5', 0.5]];[['A4', 0.5], ['B4', 0.5], ['A4', 0.5], ['G4', 0.5], ['F#4', 1.0]];[['D4', 1.0], ['C#4', 1.0], ['C#4', 1.0]];[['A3', 2.0], ['A#3', 1.0]];[('P', 3.0)];11;bach;bwv29.8
