soprano;alto;tenor;bass;measure;composer;corpus
[['D5', 1.0]];[['G4', 0.5], ['F#4', 0.5]];[['B-3', 0.5], ['C4', 0.5]];[['G2', 0.5], ['A2', 0.5]];0;bach;bwv313
[['D5', 1.0], ['D5', 1.0], ['D5', 1.0], ['C5', 1.0]];[['G4', 1.0], ['F#4', 0.5], ['G4', 0.5], ['A4', 0.5], ['G4', 1.0], ['F#4', 0.5]];[['D4', 0.5], ['C4', 0.25], ['B-3', 0.25], ['A3', 1.5], ['B-3', 0.5], ['C4', 0.5], ['D4', 0.5]];[['B-2', 0.5], ['C3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['A3', 0.5], ['D3', 0.5]];1;bach;bwv313
[['B-4', 2.0], ['A4', 1.0], ['D5', 1.0]];[['G4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['F#4', 1.0], ['F4', 1.0]];[['D4', 1.0], ['D4', 1.0], ['D4', 1.0], ['D4', 0.5], ['C4', 0.5]];[['G3', 0.5], ['A3', 0.5], ['B-3', 0.5], ['C4', 0.5], ['D4', 1.0], ['B-3', 0.5], ['A3', 0.5]];2;bach;bwv313
[['D5', 0.5], ['E-5', 0.5], ['F5', 1.0], ['E-5', 1.0], ['D5', 1.0]];[['G4', 1.0], ['F4', 1.0], ['C5', 1.5], ['B-4', 0.5]];[['B-3', 1.0], ['B-3', 1.5], ['A3', 0.25], ['G3', 0.25], ['F3', 0.5], ['F4', 0.5]];[['G3', 0.5], ['F3', 0.5], ['E-3', 0.5], ['D3', 0.5], ['C3', 0.5], ['F3', 0.5], ['B-2', 0.5], ['D3', 0.5]];3;bach;bwv313
[['C5', 2.0], ['D5', 1.0]];[['B-4', 1.0], ['A4', 1.0], ['B-4', 1.0]];[['G4', 1.0], ['F4', 1.0], ['F4', 1.0]];[['E-3', 0.5], ['C3', 0.5], ['F3', 1.0], ['B-2', 1.0]];4;bach;bwv313
[['D5', 1.0]];[['B-4', 0.5], ['A4', 0.5]];[['F4', 1.0]];[['B-2', 1.0]];5;bach;bwv313
[['C5', 1.0], ['B-4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['G4', 1.0], ['G4', 1.5], ['F#4', 0.5], ['G4', 1.0]];[['E-4', 0.5], ['D4', 0.5], ['E4', 1.0], ['A3', 0.5], ['D4', 0.25], ['C4', 0.25], ['B-3', 0.5], ['C4', 0.25], ['B-3', 0.25]];[['C3', 1.5], ['C#3', 0.5], ['D3', 1.0], ['E-3', 0.5], ['E3', 0.5]];6;bach;bwv313
[['A4', 1.0], ['B-4', 1.0], ['A4', 1.0], ['D5', 1.0]];[['C4', 0.5], ['A4', 0.5], ['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['A4', 1.0]];[['A3', 0.5], ['D4', 0.25], ['C4', 0.25], ['B-3', 0.25], ['A3', 0.25], ['G3', 0.5], ['D4', 1.0], ['D4', 1.0]];[['F3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['C#3', 0.5], ['D3', 1.0], ['F#3', 1.0]];7;bach;bwv313
[['B-4', 1.0], ['B-4', 1.0], ['C5', 1.0], ['D5', 1.0]];[['A4', 1.0], ['G4', 0.5], ['F4', 1.0], ['E-4', 0.5], ['A-4', 0.5], ['G4', 0.5]];[['D4', 1.0], ['E-4', 0.5], ['F4', 0.5], ['G4', 1.0], ['F4', 0.5], ['D4', 0.5]];[['G3', 0.5], ['F3', 0.5], ['E-3', 0.5], ['D3', 0.5], ['C3', 1.5], ['B-2', 0.5]];8;bach;bwv313
[['E-5', 1.0], ['D5', 1.0], ['C5', 1.0], ['C5', 1.0]];[['G4', 1.0], ['G4', 1.0], ['A4', 1.0], ['A4', 0.5], ['G4', 0.5]];[['D4', 0.5], ['C4', 0.5], ['D4', 0.5], ['E4', 0.5], ['F#4', 0.5], ['A3', 0.5], ['D4', 0.5], ['E-4', 0.5]];[['C3', 0.5], ['C4', 1.0], ['B-3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['G3', 0.5]];9;bach;bwv313
[['D5', 1.5], ['C5', 0.5], ['B4', 1.0]];[['F#4', 0.5], ['G4', 1.0], ['F#4', 0.5], ['G4', 1.0]];[['D4', 0.5], ['C4', 0.25], ['B-3', 0.25], ['A3', 0.5], ['D4', 0.5], ['D4', 1.0]];[['D3', 2.0], ['G3', 1.0]];10;bach;bwv313
