trumpet__;trumpet__;trumpet__;timpani;oboe__;soprano_oboe___violin_;alto_oboe___viloin__;tenor_viola;bass_continuo;measure;composer;corpus
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['C4', 1.0]];[['E5', 1.0]];[['G4', 1.0]];[['C4', 1.0]];[['C3', 1.0]];0;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['D4', 1.0], ['C4', 1.0]];[['E5', 1.0], ['C5', 1.0], ['D5', 1.0], ['E5', 1.0]];[['G4', 1.0], ['G4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['D4', 1.0], ['C4', 1.0]];[['C3', 1.0], ['C4', 1.0], ['B3', 1.0], ['B-3', 1.0]];1;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C4', 1.0], ['F4', 1.0], ['F4', 1.0], ['D4', 1.0]];[['F5', 2.0], ['D5', 1.0], ['D5', 1.0]];[['F4', 0.5], ['G4', 0.5], ['A4', 1.0], ['B-4', 1.0], ['A4', 1.0]];[['C4', 1.0], ['F4', 1.0], ['F4', 1.0], ['A3', 1.0]];[['A3', 1.0], ['G3', 0.5], ['F3', 0.5], ['B-3', 1.0], ['F#3', 1.0]];2;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D4', 1.0], ['E4', 0.5], ['F4', 0.25], ['G4', 0.25], ['F4', 0.5], ['E4', 0.5], ['D4', 1.0]];[['D5', 1.0], ['C5', 1.0], ['C5', 1.0], ['B4', 1.0]];[['G4', 1.0], ['G4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['B3', 1.0], ['C4', 1.0], ['F4', 0.5], ['E4', 0.5], ['D4', 1.0]];[['G3', 0.5], ['F3', 0.5], ['E3', 1.0], ['F3', 1.0], ['G3', 1.0]];3;bach;bwv41.6
[['G5', 0.5], ['A5', 1.0], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['G4', 0.25], ['G4', 0.25], ['C5', 0.25], ['C5', 0.25], ['E5', 0.25], ['E5', 0.25]];[['E5', 0.5], ['F5', 1.0], ['E5', 0.25], ['D5', 0.25], ['E5', 0.5], ['E4', 0.25], ['E4', 0.25], ['G4', 0.25], ['G4', 0.25], ['C5', 0.25], ['C5', 0.25]];[['C5', 1.0], ('P', 1.0), ('P', 0.5), ['C4', 0.25], ['C4', 0.25], ['E4', 0.25], ['E4', 0.25], ['G4', 0.25], ['G4', 0.25]];[['C3', 1.0], ('P', 1.0), ('P', 0.5), ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25]];[['E4', 3.0], ('P', 1.0)];[['C5', 3.0], ('P', 1.0)];[['G4', 3.0], ('P', 1.0)];[['E4', 3.0], ('P', 1.0)];[['C3', 3.0], ('P', 1.0)];4;bach;bwv41.6
[['G5', 0.5], ['A5', 1.0], ['G5', 0.25], ['F5', 0.25], ['G5', 1.0], ('P', 1.0)];[['E5', 0.5], ['F5', 1.0], ['E5', 0.25], ['D5', 0.25], ['E5', 1.0], ('P', 1.0)];[['C5', 0.5], ['C4', 0.25], ['C4', 0.25], ['C4', 0.25], ['C4', 0.25], ['C4', 0.25], ['C4', 0.25], ['C5', 1.0], ('P', 1.0)];[['C3', 0.5], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 1.0], ('P', 1.0)];[('P', 2.0), ('P', 1.0), ['B4', 0.5], ['C5', 0.5]];[('P', 2.0), ('P', 1.0), ['D5', 1.0]];[('P', 2.0), ('P', 1.0), ['G4', 0.5], ['F#4', 0.5]];[('P', 2.0), ('P', 1.0), ['B3', 0.5], ['A3', 0.5]];[('P', 2.0), ('P', 1.0), ['G2', 1.0]];5;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['B4', 0.5], ['A4', 0.5], ['G4', 1.0], ['D4', 1.0], ['C4', 1.0]];[['D5', 1.0], ['D5', 1.0], ['D5', 1.0], ['E5', 1.0]];[['G4', 1.5], ['F#4', 0.5], ['G4', 1.0], ['G4', 1.0]];[['B3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C4', 0.5], ['D4', 1.0], ['C4', 0.5], ['B-3', 0.5]];[['G3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['G3', 0.5], ['C4', 1.0]];6;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C4', 1.0], ['F4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['C5', 2.0], ['C5', 1.0], ['C5', 1.0]];[['G4', 1.0], ['F4', 0.5], ['E4', 0.5], ['F4', 1.0], ['G4', 1.0]];[['B-3', 1.0], ['A3', 0.5], ['G3', 0.5], ['A3', 1.0], ['E4', 1.0]];[['F3', 2.0], ['F3', 1.0], ['E3', 0.5], ['F3', 0.5]];7;bach;bwv41.6
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G4', 0.5], ['F4', 0.5], ['E4', 1.0], ['F4', 0.5], ['E4', 0.5], ['D4', 0.5], ['G4', 0.5]];[['B4', 1.0], ['C5', 1.0], ['D5', 1.0], ['D5', 1.0]];[['G4', 0.5], ['F4', 0.5], ['E4', 1.0], ['A4', 1.0], ['G4', 0.5], ['F4', 0.5]];[['D4', 1.0], ['C4', 1.0], ['C4', 1.0], ['B3', 1.0]];[['G3', 1.0], ['A3', 0.5], ['G3', 0.5], ['F3', 1.0], ['G3', 0.5], ['G2', 0.5]];8;bach;bwv41.6
[['G5', 0.5], ['A5', 1.0], ['G5', 0.25], ['F5', 0.25], ['G5', 0.5], ['G4', 0.25], ['G4', 0.25], ['C5', 0.25], ['C5', 0.25], ['E5', 0.25], ['E5', 0.25]];[['E5', 0.5], ['F5', 1.0], ['E5', 0.25], ['D5', 0.25], ['E5', 0.5], ['E4', 0.25], ['E4', 0.25], ['G4', 0.25], ['G4', 0.25], ['C5', 0.25], ['C5', 0.25]];[['C5', 1.0], ('P', 1.0), ('P', 0.5), ['C4', 0.25], ['C4', 0.25], ['E4', 0.25], ['E4', 0.25], ['G4', 0.25], ['G4', 0.25]];[['C3', 1.0], ('P', 1.0), ('P', 0.5), ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25], ['C3', 0.25]];[['G4', 3.0], ('P', 1.0)];[['C5', 3.0], ('P', 1.0)];[['E4', 3.0], ('P', 1.0)];[['G3', 3.0], ('P', 1.0)];[['C3', 3.0], ('P', 1.0)];9;bach;bwv41.6
