violin__;violin__;viola;soprano;alto;tenor;bass;measure;composer;corpus
[['D5', 1.0]];[['B4', 1.0]];[['G4', 1.0]];[['D5', 1.0]];[['G4', 1.0]];[['B3', 1.0]];[['G3', 1.0]];0;bach;bwv59.3
[['E5', 1.0], ['D5', 0.5], ['C5', 0.5], ['B4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['A4', 1.0], ['A4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['G4', 1.0], ['F#4', 1.0], ['G4', 1.0], ['D4', 1.0]];[['E5', 1.0], ['D5', 0.5], ['C5', 0.5], ['B4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['G4', 1.0], ['F#4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['C4', 0.5], ['B3', 0.5], ['A3', 1.0], ['E4', 1.0], ['D4', 1.0]];[['C3', 1.0], ['D3', 1.0], ['E3', 1.0], ['B2', 0.5], ['C3', 0.5]];1;bach;bwv59.3
[['A4', 2.0], ['B4', 1.0], ['C#5', 1.0]];[['F#4', 2.0], ['G4', 1.0], ['G4', 1.0]];[['D4', 2.0], ['D4', 1.0], ['E4', 1.0]];[['A4', 2.0], ['B4', 1.0], ['C#5', 1.0]];[['F#4', 2.0], ['G4', 1.0], ['G4', 1.0]];[['D4', 2.0], ['D4', 1.0], ['E4', 1.0]];[['D3', 2.0], ['G3', 1.0], ['E3', 1.0]];2;bach;bwv59.3
[['D5', 3.0], ['D5', 1.0]];[['A4', 3.0], ['G4', 1.0]];[['F#4', 3.0], ['D4', 1.0]];[['D5', 3.0], ['D5', 1.0]];[['F#4', 3.0], ['G4', 1.0]];[['A3', 3.0], ['B3', 1.0]];[['D3', 3.0], ['G3', 1.0]];3;bach;bwv59.3
[['E5', 1.0], ['D5', 1.0], ['A4', 0.5], ['B4', 0.5], ['C5', 1.0]];[['G4', 1.0], ['G4', 1.0], ['F#4', 1.0], ['E4', 0.5], ['F#4', 0.5]];[['C4', 1.0], ['D4', 1.0], ['D4', 1.0], ['C4', 1.0]];[['E5', 1.0], ['D5', 1.0], ['A4', 0.5], ['B4', 0.5], ['C5', 1.0]];[['G4', 1.0], ['G4', 1.0], ['F#4', 0.5], ['G4', 0.5], ['A4', 1.0]];[['C4', 1.0], ['D4', 1.0], ['D4', 1.0], ['E4', 0.5], ['D4', 0.25], ['C4', 0.25]];[['C3', 1.0], ['B2', 0.5], ['C3', 0.5], ['D3', 1.0], ['A2', 1.0]];4;bach;bwv59.3
[['B4', 1.0], ['A4', 1.0], ['G4', 2.0]];[['G4', 1.0], ['F#4', 1.0], ['D4', 2.0]];[['D4', 1.0], ['D4', 1.0], ['B3', 2.0]];[['B4', 1.0], ['A4', 1.0], ['G4', 2.0]];[['G4', 1.0], ['F#4', 1.0], ['D4', 2.0]];[['D4', 1.0], ['D4', 0.5], ['C4', 0.5], ['B3', 2.0]];[['B2', 0.5], ['C3', 0.5], ['D3', 1.0], ['G2', 2.0]];5;bach;bwv59.3
[('P', 1.0), ['G4', 1.0], ['A4', 0.5], ['B4', 0.5], ['C5', 1.0]];[('P', 1.0), ['D4', 1.0], ['D4', 1.0], ['E4', 1.0]];[('P', 1.0), ['B3', 1.0], ['A3', 1.0], ['G3', 0.5], ['A3', 0.5]];[('P', 1.0), ['G4', 1.0], ['A4', 0.5], ['B4', 0.5], ['C5', 1.0]];[('P', 1.0), ['D4', 1.0], ['D4', 1.0], ['G4', 1.0]];[('P', 1.0), ['B3', 1.0], ['A3', 1.0], ['E4', 1.0]];[('P', 1.0), ['G3', 1.0], ['F#3', 1.0], ['E3', 0.5], ['F#3', 0.5]];6;bach;bwv59.3
[['B4', 0.5], ['C5', 0.5], ['D5', 2.0], ['A4', 1.0]];[['D4', 1.0], ['G4', 2.0], ['F#4', 1.0]];[['B3', 1.5], ['C4', 0.5], ['D4', 0.5], ['E4', 0.5], ['F#4', 1.0]];[['B4', 0.5], ['C5', 0.5], ['D5', 2.0], ['A4', 1.0]];[['G4', 1.5], ['F#4', 0.5], ['G4', 1.0], ['F#4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 1.0], ['D4', 0.5], ['C4', 0.5]];[['G3', 1.0], ['G2', 0.5], ['A2', 0.5], ['B2', 0.5], ['C3', 0.5], ['D3', 1.0]];7;bach;bwv59.3
[['G4', 1.0], ['F#4', 1.0], ['E4', 2.0]];[['B3', 0.5], ['C#4', 0.5], ['D4', 2.0], ['C#4', 1.0]];[['E4', 1.0], ['D4', 1.0], ['A3', 2.0]];[['G4', 1.0], ['F#4', 1.0], ['E4', 2.0]];[['E4', 1.0], ['D4', 2.0], ['C#4', 1.0]];[['B3', 0.5], ['A3', 0.25], ['G3', 0.25], ['A3', 1.0], ['A3', 2.0]];[['E3', 1.0], ['F#3', 0.5], ['G3', 0.5], ['A3', 1.0], ['A2', 1.0]];8;bach;bwv59.3
[['D4', 3.0], ['D4', 1.0]];[['A3', 3.0], ['D4', 0.5], ['C4', 0.5]];[['F#3', 3.0], ['B3', 0.5], ['A3', 0.5]];[['D4', 3.0], ['D4', 1.0]];[['D4', 3.0], ['D4', 1.0]];[['F#3', 3.0], ['F#3', 1.0]];[['D3', 3.0], ['B2', 1.0]];9;bach;bwv59.3
