horn__;horn__;timpani;soprano;alto;tenor;bass;continuo;measure;composer;corpus
[['B4', 1.5], ['C5', 0.5], ['B4', 0.5], ['A4', 0.5], ['B4', 0.5], ['C5', 0.5]];[['G4', 1.5], ['A4', 0.5], ['G4', 0.5], ['D4', 0.5], ['G4', 0.5], ['A4', 0.5]];[('P', 0.5), ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[('P', 2.0), ['D5', 2.0]];[('P', 2.0), ['G4', 2.0]];[('P', 2.0), ['B3', 2.0]];[('P', 2.0), ['G3', 2.0]];[['G3', 1.0], ('P', 1.0), ['G2', 1.0], ('P', 1.0)];0;bach;bwv79.3
[['D5', 0.5], ['C5', 0.5], ['B4', 2.0], ['D5', 1.0]];[['B4', 0.5], ['A4', 0.5], ['G4', 2.0], ['B4', 1.0]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[['D5', 2.0], ['D5', 2.0]];[['G4', 2.0], ['B4', 2.0]];[['B3', 1.0], ['D4', 1.0], ['G4', 2.0]];[['G3', 2.0], ['G3', 2.0]];[['G3', 1.0], ('P', 1.0), ['G2', 1.0], ('P', 1.0)];1;bach;bwv79.3
[['E5', 0.5], ['D5', 0.5], ['C5', 2.0], ['E5', 1.0]];[['C5', 1.0], ['G4', 2.0], ['C5', 1.0]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[['E5', 2.0], ['E5', 2.0]];[['C5', 2.0], ['C5', 2.0]];[['G4', 2.0], ['G4', 2.0]];[['C4', 2.0], ['C3', 2.0]];[['C3', 1.0], ('P', 1.0), ['E3', 1.0], ('P', 1.0)];2;bach;bwv79.3
[['D5', 0.5], ['C5', 0.5], ['B4', 2.0], ['B4', 0.5], ['C5', 0.5]];[['B4', 0.5], ['A4', 0.5], ['G4', 2.0], ['G4', 0.5], ['A4', 0.5]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 1.0], ('P', 1.0)];[['D5', 4.0]];[['B4', 4.0]];[['G4', 4.0]];[['G3', 4.0]];[['G3', 1.0], ('P', 1.0), ['B3', 1.0], ('P', 1.0)];3;bach;bwv79.3
[['D5', 0.5], ['E5', 0.5], ['F5', 2.0], ['E5', 0.5], ['D5', 0.5]];[['B4', 0.5], ['C5', 0.5], ['D5', 2.0], ['C5', 0.5], ['B4', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G#3', 1.0], ('P', 1.0), ['E3', 1.0], ('P', 1.0)];4;bach;bwv79.3
[['C5', 1.0], ['C5', 0.5], ['B4', 0.5], ['C5', 1.0], ['D5', 0.5], ['C5', 0.5]];[['A4', 1.0], ['A4', 0.5], ['G4', 0.5], ['A4', 1.0], ['B4', 0.5], ['A4', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A3', 1.0], ('P', 1.0), ['F#3', 1.0], ('P', 1.0)];5;bach;bwv79.3
[['B4', 0.5], ['C5', 0.5], ['D5', 2.0], ['C5', 0.5], ['B4', 0.5]];[['G4', 0.5], ['A4', 0.5], ['B4', 2.0], ['A4', 0.5], ['G4', 0.5]];[('P', 0.5), ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[('P', 2.0), ['B4', 2.0]];[('P', 2.0), ['G4', 2.0]];[('P', 2.0), ['D4', 2.0]];[('P', 2.0), ['G3', 2.0]];[['G3', 1.0], ('P', 1.0), ['G2', 1.0], ('P', 1.0)];6;bach;bwv79.3
[['A4', 1.0], ['C5', 0.5], ['A4', 0.5], ['B4', 1.0], ['D5', 0.5], ['B4', 0.5]];[['D4', 1.0], ['A4', 0.5], ['D4', 0.5], ['G4', 1.0], ['B4', 0.5], ['G4', 0.5]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[['C5', 2.0], ['B4', 2.0]];[['A4', 2.0], ['G4', 2.0]];[['D4', 2.0], ['D4', 2.0]];[['F#3', 2.0], ['G3', 2.0]];[['F#2', 1.0], ('P', 1.0), ['G2', 1.0], ('P', 1.0)];7;bach;bwv79.3
[['C5', 1.0], ['A4', 1.0], ('P', 1.0), ['B4', 0.5], ['C5', 0.5]];[['A4', 1.0], ['D4', 1.0], ('P', 1.0), ['G4', 1.0]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[['A4', 2.0], ['B4', 2.0]];[['F#4', 2.0], ['G4', 2.0]];[['D4', 2.0], ['D4', 2.0]];[['D3', 1.0], ['C3', 1.0], ['B2', 1.0], ['G2', 1.0]];[['D3', 1.0], ('P', 1.0), ['G3', 1.0], ('P', 1.0)];8;bach;bwv79.3
[['D5', 0.5], ['C5', 0.5], ['D5', 0.5], ['E5', 0.5], ['D5', 0.5], ['E5', 0.5], ['D5', 0.5], ['C5', 0.5]];[['A4', 1.0], ['B4', 0.5], ['C5', 0.5], ['A4', 2.0]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[['A4', 4.0]];[['G4', 2.0], ['F#4', 2.0]];[['D4', 3.0], ['A3', 1.0]];[['D3', 4.0]];[['D3', 1.0], ('P', 1.0), ['D2', 1.0], ('P', 1.0)];9;bach;bwv79.3
