horn__;horn__;timpani;soprano;alto;tenor;bass;measure;composer;corpus
[['D5', 1.0]];[['B4', 1.0]];[('P', 1.0)];[['G4', 1.0]];[['D4', 1.0]];[['B3', 1.0]];[['G3', 1.0]];0;bach;bwv79.6
[['D5', 2.0], ['D5', 1.0]];[['B4', 2.0], ['B4', 1.0]];[('P', 3.0)];[['G4', 2.0], ['F#4', 1.0]];[['G4', 1.0], ['A4', 1.0], ['B4', 1.0]];[['B3', 1.0], ['C4', 1.0], ['D4', 1.0]];[['E3', 2.0], ['B2', 1.0]];1;bach;bwv79.6
[['C5', 2.0], ['B4', 1.0]];[['G4', 1.0], ['A4', 1.0], ['D4', 1.0]];[('P', 2.0), ['G2', 1.0]];[['E4', 1.0], ['F#4', 1.0], ['G4', 1.0]];[['E4', 1.0], ['C4', 1.0], ['G4', 1.0]];[['G3', 1.0], ['C4', 1.0], ['D4', 1.0]];[['C3', 1.0], ['A2', 1.0], ['G2', 1.0]];2;bach;bwv79.6
[['A4', 1.0], ['B4', 1.0], ['C5', 1.0]];[['D4', 3.0]];[['D3', 1.0], ['D3', 1.0], ['D3', 1.0]];[['A4', 3.0]];[['G4', 1.0], ['F#4', 0.5], ['E4', 0.5], ['F#4', 1.0]];[['D4', 2.0], ['A3', 1.0]];[['D3', 3.0]];3;bach;bwv79.6
[['B4', 2.0], ['D5', 1.0]];[['D4', 2.0], ['B4', 1.0]];[['G2', 2.0], ('P', 1.0)];[['G4', 2.0], ['G4', 1.0]];[['D4', 2.0], ['D4', 1.0]];[['B3', 2.0], ['B3', 1.0]];[['G2', 2.0], ['G3', 1.0]];4;bach;bwv79.6
[['E5', 2.0], ['E5', 1.0]];[['B4', 2.0], ['A4', 1.0]];[('P', 3.0)];[['G4', 2.0], ['A4', 1.0]];[['G4', 1.0], ['F#4', 1.0], ['E4', 1.0]];[['B3', 2.0], ['E4', 1.0]];[['E3', 1.0], ['D3', 1.0], ['C#3', 1.0]];5;bach;bwv79.6
[['E5', 1.0], ['D5', 0.5], ['C#5', 0.5], ['D5', 1.0]];[['A4', 2.0], ['B4', 1.0]];[('P', 2.0), ['D3', 1.0]];[['F#4', 1.0], ['G4', 1.0], ['A4', 1.0]];[['F#4', 1.0], ['E4', 1.0], ['D4', 1.0]];[['A3', 2.0], ['D4', 1.0]];[['D3', 2.0], ['B2', 1.0]];6;bach;bwv79.6
[['D5', 1.0], ['C#5', 0.5], ['B4', 0.5], ['C#5', 1.0]];[['B4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['G2', 1.0], ['G2', 1.0], ['G2', 1.0]];[['G4', 3.0]];[['E4', 3.0]];[['B3', 1.0], ['E3', 1.0], ['G3', 1.0]];[['E3', 3.0]];7;bach;bwv79.6
[['D5', 2.0], ['D5', 1.0]];[['A4', 2.0], ['B4', 1.0]];[['D3', 2.0], ('P', 1.0)];[['F#4', 2.0], ['F#4', 1.0]];[['A3', 2.0], ['D4', 1.0]];[['D4', 2.0], ['D4', 1.0]];[['D3', 2.0], ['B2', 1.0]];8;bach;bwv79.6
[['B4', 2.0], ['E5', 1.0]];[['G4', 2.0], ['C5', 1.0]];[('P', 3.0)];[['G4', 2.0], ['G4', 1.0]];[['E4', 2.0], ['E4', 1.0]];[['D4', 2.0], ['C4', 1.0]];[['E3', 1.0], ['F#3', 1.0], ['G3', 1.0]];9;bach;bwv79.6
