soprano;alto;tenor;bass;continuo;measure;composer;corpus
[('P', 1.0), ['B4', 0.5], ['B4', 0.5], ['E5', 1.0], ['B4', 1.0]];[('P', 2.0), ('P', 1.0), ['G#4', 0.5], ['G#4', 0.5]];[('P', 2.0), ('P', 1.0), ['E4', 0.5], ['E4', 0.5]];[['E2', 1.0], ('P', 1.0), ('P', 1.0), ['E3', 0.5], ['E3', 0.5]];[['E2', 1.0], ('P', 2.0), ['E3', 0.5], ['E3', 0.5]];0;bach;bwv8.6
[['C#5', 1.0], ['B4', 1.0], ['A4', 1.5], ['B4', 0.25], ['A4', 0.25]];[['A4', 1.5], ['G#4', 0.5], ['G#4', 0.5], ['F#4', 0.25], ['E4', 0.25], ['F#4', 0.5], ['F#4', 0.5]];[['E4', 1.0], ['E4', 1.0], ['C#4', 1.0], ['B3', 1.0]];[['A3', 1.0], ['E3', 1.0], ['F#3', 1.0], ['D#3', 1.0]];[['A3', 1.0], ['E3', 1.0], ['F#3', 1.0], ['D#3', 1.0]];1;bach;bwv8.6
[['G#4', 1.0], ['F#4', 1.0], ('P', 1.0), ['B4', 0.5], ['A4', 0.5]];[['E4', 1.0], ['D#4', 1.0], ['D#4', 1.0], ['D#4', 1.0]];[['B3', 1.0], ['B3', 1.0], ('P', 2.0)];[['E3', 1.0], ['B2', 0.5], ['C#3', 0.5], ['D#3', 2.0]];[['E3', 1.0], ['B2', 0.5], ['C#3', 0.5], ['D#3', 2.0]];2;bach;bwv8.6
[['G#4', 1.0], ['C#5', 0.5], ['B4', 0.5], ['A#4', 0.5], ['F#4', 0.5], ['B4', 1.0]];[('P', 1.0), ['G#4', 1.0], ['F#4', 1.0], ['F#4', 1.0]];[('P', 1.0), ['E4', 0.5], ['D#4', 0.5], ['C#4', 1.0], ['D#4', 1.0]];[['E3', 0.5], ['E2', 0.5], ['E3', 1.0], ['E3', 0.5], ['D#3', 0.5], ['C#3', 0.5], ['B2', 0.5]];[['E3', 0.5], ['E2', 0.5], ['E3', 1.0], ['E3', 0.5], ['D#3', 0.5], ['C#3', 0.5], ['B2', 0.5]];3;bach;bwv8.6
[['B4', 1.0], ['A#4', 1.0], ['B4', 2.0]];[['F#4', 1.0], ['F#4', 1.0], ['F#4', 2.0]];[['C#4', 1.0], ['C#4', 1.0], ['D#4', 2.0]];[['F#3', 1.0], ['F#2', 1.0], ['B2', 2.0]];[['F#3', 1.0], ['F#2', 1.0], ['B2', 2.0]];4;bach;bwv8.6
[['B4', 1.0], ['A#4', 1.0], ['B4', 2.0]];[['F#4', 1.0], ['F#4', 1.0], ['F#4', 2.0]];[['C#4', 1.0], ['C#4', 1.0], ['D#4', 2.0]];[['F#3', 0.5], ['E3', 0.5], ['F#3', 1.0], ['B2', 2.0]];[['F#3', 1.0], ['F#2', 1.0], ['B2', 1.5], ['C#3', 0.5]];5;bach;bwv8.6
[('P', 1.0), ['F#4', 0.5], ['G#4', 0.5], ['A4', 1.0], ['G#4', 1.0]];[('P', 2.0), ['F#4', 1.0], ['E4', 0.5], ['F#4', 0.5]];[('P', 2.0), ('P', 1.0), ['E4', 0.5], ['D#4', 0.5]];[['D#3', 1.0], ['B2', 1.0], ['F#2', 1.0], ['C#3', 0.5], ['D#3', 0.5]];[['D#3', 1.0], ['B2', 1.0], ['F#2', 1.0], ['C#3', 0.5], ['D#3', 0.5]];6;bach;bwv8.6
[['C#5', 1.5], ['D#5', 0.5], ['B#4', 2.0]];[['G#4', 0.5], ['F#4', 0.5], ['G#4', 0.5], ['A4', 0.5], ['G#4', 2.0]];[['C#4', 0.5], ['A4', 0.5], ['G#4', 0.5], ['F#4', 0.5], ['D#4', 2.0]];[['E3', 0.5], ['D#3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['G#2', 1.0], ['G#3', 0.5], ['F#3', 0.5]];[['E3', 0.5], ['D#3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['G#2', 1.0], ['G#3', 0.5], ['F#3', 0.5]];7;bach;bwv8.6
[('P', 1.0), ['C#5', 0.5], ['B4', 0.5], ['A#4', 1.0], ['B4', 1.0]];[('P', 1.0), ['G#4', 1.0], ['F#4', 1.0], ['F#4', 1.0]];[('P', 1.0), ['E4', 0.5], ['D#4', 0.5], ['C#4', 1.0], ['D#4', 1.0]];[['E3', 3.0], ['D#3', 0.5], ['E3', 0.5]];[['E3', 3.0], ['D#3', 0.5], ['E3', 0.5]];8;bach;bwv8.6
[['B4', 1.0], ['A#4', 1.0], ['B4', 1.0], ['F#4', 0.5], ['F#4', 0.5]];[['F#4', 1.0], ['F#4', 1.0], ['F#4', 1.0], ('P', 1.0)];[['C#4', 0.5], ['B3', 0.5], ['C#4', 1.0], ['D#4', 1.0], ('P', 1.0)];[['F#3', 1.0], ['F#2', 1.0], ['B2', 1.0], ('P', 1.0)];[['F#3', 1.0], ['F#2', 1.0], ['B2', 1.5], ['C#3', 0.5]];9;bach;bwv8.6
[['B4', 1.5], ['A4', 0.5], ['G#4', 1.0], ['C#5', 1.0]];[('P', 1.0), ['F#4', 2.0], ['E4', 1.0]];[('P', 1.0), ['D#4', 0.5], ['D#4', 0.5], ['B3', 1.0], ['C#4', 1.0]];[('P', 1.0), ['B2', 0.5], ['B2', 0.5], ['E3', 0.5], ['D#3', 0.5], ['C#3', 0.5], ['B2', 0.5]];[['D#3', 1.0], ['B2', 0.5], ['B2', 0.5], ['E3', 0.5], ['D#3', 0.5], ['C#3', 0.5], ['B2', 0.5]];10;bach;bwv8.6
[['B#4', 1.0], ['C#5', 2.0], ['B#4', 1.0]];[['F#4', 0.5], ['G#4', 0.5], ['A#4', 1.0], ['G#4', 2.0]];[['D#4', 1.0], ['E4', 1.0], ['D#4', 2.0]];[['A2', 0.5], ['G#2', 0.5], ['F##2', 1.0], ['G#2', 2.0]];[['A2', 0.5], ['G#2', 0.5], ['F##2', 1.0], ['G#2', 2.0]];11;bach;bwv8.6
[['C#5', 2.0], ('P', 1.0), ['E5', 0.5], ['B4', 0.5]];[['G#4', 1.0], ['G#4', 0.5], ['D#4', 0.5], ['E4', 2.0]];[['E4', 1.0], ['E4', 0.5], ['B#3', 0.5], ['C#4', 1.5], ['D4', 0.5]];[['C#3', 2.0], ('P', 1.0), ['C#4', 0.5], ['G#3', 0.5]];[['C#3', 2.0], ('P', 1.0), ['C#4', 0.5], ['G#3', 0.5]];12;bach;bwv8.6
[['C#5', 1.0], ['G#4', 0.5], ['A4', 0.5], ['B4', 1.5], ['A4', 0.5]];[['E4', 1.0], ['E4', 1.0], ['D#4', 0.5], ['E4', 0.5], ['F#4', 1.0]];[['C#4', 2.0], ['B3', 2.0]];[['A3', 0.5], ['B3', 0.5], ['C#4', 1.0], ['G#3', 1.0], ['D#3', 1.0]];[['A3', 0.5], ['B3', 0.5], ['C#4', 1.0], ['G#3', 1.0], ['D#3', 1.0]];13;bach;bwv8.6
[['G#4', 1.0], ['F#4', 0.5], ['E4', 0.5], ['D#4', 1.0], ['E4', 1.0]];[['F#4', 0.5], ['E4', 0.5], ['D#4', 0.5], ['E4', 0.5], ['B3', 1.0], ['C#4', 1.0]];[['B3', 1.0], ['C4', 1.0], ['F#3', 1.0], ['G3', 1.0]];[['E3', 1.0], ['A2', 2.0], ['A#2', 1.0]];[['E3', 1.0], ['A2', 2.0], ['A#2', 1.0]];14;bach;bwv8.6
[['E4', 1.0], ['D#4', 1.0], ['E4', 2.0]];[['B3', 2.0], ['B3', 2.0]];[['F#3', 0.5], ['E3', 0.5], ['F#3', 1.0], ['G#3', 2.0]];[['B2', 2.0], ['E3', 2.0]];[['B2', 2.0], ['E2', 2.0]];15;bach;bwv8.6
