piano;piano_;measure;composer;corpus
[('P', 0.5), ['G4', 0.25], ['C5', 0.25], ['E5', 0.25], ['G4', 0.25], ['C5', 0.25], ['E5', 0.25], ('P', 0.5), ['G4', 0.25], ['C5', 0.25], ['E5', 0.25], ['G4', 0.25], ['C5', 0.25], ['E5', 0.25]];[];0;bach;bwv846
[('P', 0.5), ['A4', 0.25], ['D5', 0.25], ['F5', 0.25], ['A4', 0.25], ['D5', 0.25], ['F5', 0.25], ('P', 0.5), ['A4', 0.25], ['D5', 0.25], ['F5', 0.25], ['A4', 0.25], ['D5', 0.25], ['F5', 0.25]];[];1;bach;bwv846
[('P', 0.5), ['G4', 0.25], ['D5', 0.25], ['F5', 0.25], ['G4', 0.25], ['D5', 0.25], ['F5', 0.25], ('P', 0.5), ['G4', 0.25], ['D5', 0.25], ['F5', 0.25], ['G4', 0.25], ['D5', 0.25], ['F5', 0.25]];[];2;bach;bwv846
[('P', 0.5), ['G4', 0.25], ['C5', 0.25], ['E5', 0.25], ['G4', 0.25], ['C5', 0.25], ['E5', 0.25], ('P', 0.5), ['G4', 0.25], ['C5', 0.25], ['E5', 0.25], ['G4', 0.25], ['C5', 0.25], ['E5', 0.25]];[];3;bach;bwv846
[('P', 0.5), ['A4', 0.25], ['E5', 0.25], ['A5', 0.25], ['A4', 0.25], ['E5', 0.25], ['A5', 0.25], ('P', 0.5), ['A4', 0.25], ['E5', 0.25], ['A5', 0.25], ['A4', 0.25], ['E5', 0.25], ['A5', 0.25]];[];4;bach;bwv846
[('P', 0.5), ['F#4', 0.25], ['A4', 0.25], ['D5', 0.25], ['F#4', 0.25], ['A4', 0.25], ['D5', 0.25], ('P', 0.5), ['F#4', 0.25], ['A4', 0.25], ['D5', 0.25], ['F#4', 0.25], ['A4', 0.25], ['D5', 0.25]];[];5;bach;bwv846
[('P', 0.5), ['G4', 0.25], ['D5', 0.25], ['G5', 0.25], ['G4', 0.25], ['D5', 0.25], ['G5', 0.25], ('P', 0.5), ['G4', 0.25], ['D5', 0.25], ['G5', 0.25], ['G4', 0.25], ['D5', 0.25], ['G5', 0.25]];[];6;bach;bwv846
[('P', 0.5), ['E4', 0.25], ['G4', 0.25], ['C5', 0.25], ['E4', 0.25], ['G4', 0.25], ['C5', 0.25], ('P', 0.5), ['E4', 0.25], ['G4', 0.25], ['C5', 0.25], ['E4', 0.25], ['G4', 0.25], ['C5', 0.25]];[];7;bach;bwv846
[('P', 0.5), ['E4', 0.25], ['G4', 0.25], ['C5', 0.25], ['E4', 0.25], ['G4', 0.25], ['C5', 0.25], ('P', 0.5), ['E4', 0.25], ['G4', 0.25], ['C5', 0.25], ['E4', 0.25], ['G4', 0.25], ['C5', 0.25]];[];8;bach;bwv846
[('P', 0.5), ['D4', 0.25], ['F#4', 0.25], ['C5', 0.25], ['D4', 0.25], ['F#4', 0.25], ['C5', 0.25], ('P', 0.5), ['D4', 0.25], ['F#4', 0.25], ['C5', 0.25], ['D4', 0.25], ['F#4', 0.25], ['C5', 0.25]];[];9;bach;bwv846
